circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	7	3_5_2	17	0.452	exon	ENSG00000230092.7_5,	-	K00302:154:HGK25BBXY:2:1106:12845:37607,K00302:154:HGK25BBXY:2:1212:24180:8295,K00302:154:HGK25BBXY:2:2104:11069:10827,K00302:154:HGK25BBXY:2:1203:25144:34899,K00302:154:HGK25BBXY:2:2109:30878:41423,K00302:154:HGK25BBXY:2:2206:17645:22960,K00302:154:HGK25BBXY:2:2228:32289:38064,
chr1:1158624|1159348	chr1	1158624	1159348	6	6_6_0	217	0.052	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:2:2105:23520:42179,K00302:154:HGK25BBXY:2:1117:21805:35690,K00302:154:HGK25BBXY:2:1118:16488:11565,K00302:154:HGK25BBXY:2:2226:30624:18335,K00302:154:HGK25BBXY:2:1226:1326:14871,K00302:154:HGK25BBXY:2:2103:17086:35040,
chr1:1735858|1737977	chr1	1735858	1737977	2	2_2_0	648	0.006	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:2221:16660:5358,K00302:154:HGK25BBXY:2:1109:18122:9895,
chr1:1747195|1756938	chr1	1747195	1756938	3	3_3_0	508	0.012	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:1208:16092:46012,K00302:154:HGK25BBXY:2:2123:13169:1420,K00302:154:HGK25BBXY:2:1211:22384:14010,
chr1:1747195|1770677	chr1	1747195	1770677	3	2_1_3	394	0.015	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:1110:1580:18335,K00302:154:HGK25BBXY:2:2119:6248:39647,K00302:154:HGK25BBXY:2:2226:7101:16717,
chr1:7837220|7838229	chr1	7837220	7838229	6	5_2_4	157	0.071	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:2:1111:21278:13570,K00302:154:HGK25BBXY:2:1124:19248:32244,K00302:154:HGK25BBXY:2:2208:6867:24577,K00302:154:HGK25BBXY:2:1224:5284:33756,K00302:154:HGK25BBXY:2:1217:3356:3266,K00302:154:HGK25BBXY:2:2206:26271:19337,
chr1:9991949|9994918	chr1	9991949	9994918	4	3_3_2	43	0.157	exon	ENSG00000162441.12_3,	-	K00302:154:HGK25BBXY:2:1208:14072:43884,K00302:154:HGK25BBXY:2:1117:16701:1631,K00302:154:HGK25BBXY:2:2112:22495:47753,K00302:154:HGK25BBXY:2:2118:12236:35954,
chr1:9991949|9995685	chr1	9991949	9995685	2	1_1_1	53	0.070	exon	ENSG00000162441.12_3,	-	K00302:154:HGK25BBXY:2:2224:22343:14818,K00302:154:HGK25BBXY:2:1128:28463:2563,
chr1:10463128|10464336	chr1	10463128	10464336	2	1_2_1	177	0.022	exon	ENSG00000142657.21_4,	+	K00302:154:HGK25BBXY:2:1118:2656:47172,K00302:154:HGK25BBXY:2:1226:20892:37413,
chr1:10527247|10529395	chr1	10527247	10529395	2	2_2_0	101	0.038	exon	ENSG00000160049.12_3,	-	K00302:154:HGK25BBXY:2:1120:5670:47331,K00302:154:HGK25BBXY:2:1211:21166:44394,
chr1:11133991|11137005	chr1	11133991	11137005	2	1_2_1	187	0.021	exon	ENSG00000171824.14_4,	-	K00302:154:HGK25BBXY:2:1224:22587:36657,K00302:154:HGK25BBXY:2:2228:8785:24525,
chr1:12061458|12062160	chr1	12061458	12062160	3	3_2_0	95	0.059	exon	ENSG00000116688.16_5,	+	K00302:154:HGK25BBXY:2:2206:17249:13728,K00302:154:HGK25BBXY:2:1215:27011:6308,K00302:154:HGK25BBXY:2:2106:11160:30573,
chr1:12328763|12331181	chr1	12328763	12331181	2	2_2_0	136	0.029	exon	ENSG00000048707.15_5,	+	K00302:154:HGK25BBXY:2:2219:3376:5552,K00302:154:HGK25BBXY:2:1122:26890:42601,
chr1:12335882|12338095	chr1	12335882	12338095	6	5_4_0	132	0.083	exon	ENSG00000048707.15_5,	+	K00302:154:HGK25BBXY:2:1108:14752:12005,K00302:154:HGK25BBXY:2:1110:28980:26318,K00302:154:HGK25BBXY:2:1125:28503:16735,K00302:154:HGK25BBXY:2:2121:31954:41000,K00302:154:HGK25BBXY:2:2102:17837:34723,K00302:154:HGK25BBXY:2:2102:17848:34741,
chr1:14057495|14068652	chr1	14057495	14068652	4	2_3_0	20	0.286	exon	ENSG00000116731.22_3,	+	K00302:154:HGK25BBXY:2:1116:7760:12269,K00302:154:HGK25BBXY:2:1113:20791:38363,K00302:154:HGK25BBXY:2:2115:26291:31787,K00302:154:HGK25BBXY:2:1218:16782:5745,
chr1:14057495|14075982	chr1	14057495	14075982	2	2_2_0	35	0.103	exon	ENSG00000116731.22_3,	+	K00302:154:HGK25BBXY:2:1206:7476:47331,K00302:154:HGK25BBXY:2:1107:11657:42583,
chr1:14099573|14109326	chr1	14099573	14109326	2	2_2_0	88	0.043	exon	ENSG00000116731.22_3,	+	K00302:154:HGK25BBXY:2:1209:2148:30925,K00302:154:HGK25BBXY:2:2119:20780:37923,
chr1:15860732|15863309	chr1	15860732	15863309	3	2_3_1	63	0.087	exon	ENSG00000116138.13_3,	+	K00302:154:HGK25BBXY:2:1108:19055:40455,K00302:154:HGK25BBXY:2:2128:24901:5007,K00302:154:HGK25BBXY:2:2119:22029:18529,
chr1:15956820|15978390	chr1	15956820	15978390	2	2_2_0	59	0.063	exon	ENSG00000197312.12_4,	+	K00302:154:HGK25BBXY:2:2125:8014:16753,K00302:154:HGK25BBXY:2:2125:25591:41124,
chr1:15964802|15970145	chr1	15964802	15970145	2	2_2_0	41	0.089	exon	ENSG00000197312.12_4,	+	K00302:154:HGK25BBXY:2:1207:14823:37554,K00302:154:HGK25BBXY:2:1122:26798:7205,
chr1:16044388|16047883	chr1	16044388	16047883	3	1_2_2	69	0.080	exon	ENSG00000116786.13_5,	+	K00302:154:HGK25BBXY:2:2214:24454:48333,K00302:154:HGK25BBXY:2:1220:26413:13148,K00302:154:HGK25BBXY:2:1218:16995:9455,
