circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	20	7_8_0	86	0.317	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:1104:26311:28833,K00302:179:HHYC5BBXY:1:1107:2686:13675,K00302:179:HHYC5BBXY:1:1112:30259:39611,K00302:179:HHYC5BBXY:1:1112:29224:42776,K00302:179:HHYC5BBXY:1:1221:11272:15996,K00302:179:HHYC5BBXY:1:1221:16407:22432,K00302:179:HHYC5BBXY:1:1227:9019:18458,K00302:179:HHYC5BBXY:1:2121:19928:37537,K00302:179:HHYC5BBXY:1:2210:7415:2598,K00302:179:HHYC5BBXY:1:1210:5365:16243,K00302:179:HHYC5BBXY:1:2102:9820:9860,K00302:179:HHYC5BBXY:1:2104:18751:8207,K00302:179:HHYC5BBXY:1:2104:18720:8224,K00302:179:HHYC5BBXY:1:2116:14570:17561,K00302:179:HHYC5BBXY:1:1101:13190:15276,K00302:179:HHYC5BBXY:1:1114:19197:41792,K00302:179:HHYC5BBXY:1:1116:1215:42847,K00302:179:HHYC5BBXY:1:1214:32065:8066,K00302:179:HHYC5BBXY:1:2209:3660:9772,K00302:179:HHYC5BBXY:1:1205:14346:43620,
chr1:1430865|1464711	chr1	1430865	1464711	2	2_2_0	4	0.500	intergenic_region	n/a	+	K00302:179:HHYC5BBXY:1:1115:27671:21377,K00302:179:HHYC5BBXY:1:1209:26930:35637,
chr1:1747195|1770677	chr1	1747195	1770677	3	3_2_0	348	0.017	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:2211:12154:27338,K00302:179:HHYC5BBXY:1:2206:7283:21219,K00302:179:HHYC5BBXY:1:2224:20283:13675,
chr1:2066701|2082417	chr1	2066701	2082417	3	2_2_0	208	0.028	exon	ENSG00000067606.17_5,	+	K00302:179:HHYC5BBXY:1:1221:2463:8787,K00302:179:HHYC5BBXY:1:2225:3001:46188,K00302:179:HHYC5BBXY:1:2202:13393:1209,
chr1:4771960|4772759	chr1	4771960	4772759	3	2_2_0	33	0.154	exon	ENSG00000196581.10_2,	+	K00302:179:HHYC5BBXY:1:2121:31700:11688,K00302:179:HHYC5BBXY:1:1127:18162:35532,K00302:179:HHYC5BBXY:1:1202:22800:2563,
chr1:6021854|6046387	chr1	6021854	6046387	2	2_2_0	24	0.143	exon	ENSG00000131697.18_5,	-	K00302:179:HHYC5BBXY:1:2220:13190:25052,K00302:179:HHYC5BBXY:1:1203:7446:27654,
chr1:6867043|6948959	chr1	6867043	6948959	3	2_2_0	3	0.667	intron	ENSG00000171735.19_4,	+	K00302:179:HHYC5BBXY:1:2127:30350:33932,K00302:179:HHYC5BBXY:1:2104:12043:22467,K00302:179:HHYC5BBXY:1:2104:11921:22713,
chr1:7837220|7838229	chr1	7837220	7838229	4	2_1_2	63	0.113	exon	ENSG00000049245.13_4,	+	K00302:179:HHYC5BBXY:1:2101:31203:42020,K00302:179:HHYC5BBXY:1:1113:9587:20850,K00302:179:HHYC5BBXY:1:1113:26758:34635,K00302:179:HHYC5BBXY:1:2121:4036:37572,
chr1:8525985|8601377	chr1	8525985	8601377	3	3_2_0	213	0.027	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2204:1925:39822,K00302:179:HHYC5BBXY:1:1203:3833:5921,K00302:179:HHYC5BBXY:1:2124:14448:25122,
chr1:8525985|8617582	chr1	8525985	8617582	7	2_3_0	58	0.194	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1103:16072:48333,K00302:179:HHYC5BBXY:1:2215:9709:19865,K00302:179:HHYC5BBXY:1:2206:11109:39137,K00302:179:HHYC5BBXY:1:2209:5436:36728,K00302:179:HHYC5BBXY:1:1126:25692:13166,K00302:179:HHYC5BBXY:1:2104:27306:2703,K00302:179:HHYC5BBXY:1:1201:15564:35919,
