circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	14	5_7_1	17	0.622	exon	ENSG00000230092.7_5,	-	K00302:154:HGK25BBXY:1:1227:25560:9033,K00302:154:HGK25BBXY:1:1227:23896:13851,K00302:154:HGK25BBXY:1:2126:28970:36464,K00302:154:HGK25BBXY:1:2115:32075:35761,K00302:154:HGK25BBXY:1:2115:31152:37712,K00302:154:HGK25BBXY:1:2206:17391:25896,K00302:154:HGK25BBXY:1:2207:27093:14467,K00302:154:HGK25BBXY:1:1218:4117:14150,K00302:154:HGK25BBXY:1:1123:2879:7820,K00302:154:HGK25BBXY:1:1127:1407:44552,K00302:154:HGK25BBXY:1:1222:13261:5024,K00302:154:HGK25BBXY:1:2125:8806:4971,K00302:154:HGK25BBXY:1:1107:26768:7996,K00302:154:HGK25BBXY:1:2115:32157:36007,
chr1:1158624|1159348	chr1	1158624	1159348	22	19_18_1	52	0.458	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:1:1113:29873:16506,K00302:154:HGK25BBXY:1:1113:3518:23839,K00302:154:HGK25BBXY:1:1115:21816:16964,K00302:154:HGK25BBXY:1:1116:18730:7504,K00302:154:HGK25BBXY:1:1118:11749:14502,K00302:154:HGK25BBXY:1:1119:19177:6589,K00302:154:HGK25BBXY:1:2104:25256:39031,K00302:154:HGK25BBXY:1:1202:14346:19777,K00302:154:HGK25BBXY:1:2216:3123:29729,K00302:154:HGK25BBXY:1:1119:28919:37009,K00302:154:HGK25BBXY:1:1122:4980:8049,K00302:154:HGK25BBXY:1:1124:8877:36288,K00302:154:HGK25BBXY:1:1128:12378:24384,K00302:154:HGK25BBXY:1:2127:23774:7521,K00302:154:HGK25BBXY:1:2206:28392:8242,K00302:154:HGK25BBXY:1:1213:31812:40578,K00302:154:HGK25BBXY:1:1215:9546:29536,K00302:154:HGK25BBXY:1:1218:17665:47366,K00302:154:HGK25BBXY:1:2224:27296:14432,K00302:154:HGK25BBXY:1:2227:11241:29167,K00302:154:HGK25BBXY:1:1113:9435:42882,K00302:154:HGK25BBXY:1:2121:4564:37783,
chr1:1413168|1419103	chr1	1413168	1419103	2	2_2_0	5	0.444	intron	ENSG00000160072.19_2,	-	K00302:154:HGK25BBXY:1:1127:11454:3477,K00302:154:HGK25BBXY:1:1103:31933:11495,
chr1:1586823|1654270	chr1	1586823	1654270	2	2_2_0	1	0.800	intergenic_region	n/a	-	K00302:154:HGK25BBXY:1:2107:15026:22608,K00302:154:HGK25BBXY:1:2220:5081:2563,
chr1:1601103|1666274	chr1	1601103	1666274	6	2_5_2	6	0.667	intergenic_region	n/a	-	K00302:154:HGK25BBXY:1:1112:24139:31681,K00302:154:HGK25BBXY:1:2108:23013:29870,K00302:154:HGK25BBXY:1:1121:21501:28375,K00302:154:HGK25BBXY:1:2123:21166:25685,K00302:154:HGK25BBXY:1:2123:21176:25703,K00302:154:HGK25BBXY:1:1101:21866:31154,
chr1:1747195|1756938	chr1	1747195	1756938	7	4_3_1	360	0.037	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:1111:22029:21940,K00302:154:HGK25BBXY:1:1212:22414:7099,K00302:154:HGK25BBXY:1:2222:5842:13763,K00302:154:HGK25BBXY:1:2222:5832:13781,K00302:154:HGK25BBXY:1:2222:5781:13834,K00302:154:HGK25BBXY:1:1220:22495:44377,K00302:154:HGK25BBXY:1:1213:2280:19619,
chr1:1747195|1770677	chr1	1747195	1770677	3	2_2_1	249	0.024	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:1125:7019:27127,K00302:154:HGK25BBXY:1:2204:23520:9473,K00302:154:HGK25BBXY:1:1226:4726:30362,
chr1:2066701|2082417	chr1	2066701	2082417	4	2_3_1	204	0.038	exon	ENSG00000067606.17_5,	+	K00302:154:HGK25BBXY:1:2105:29467:29448,K00302:154:HGK25BBXY:1:2105:27833:31048,K00302:154:HGK25BBXY:1:1222:14671:35251,K00302:154:HGK25BBXY:1:2223:29660:40156,
chr1:2066701|2087531	chr1	2066701	2087531	4	3_3_0	135	0.056	exon	ENSG00000067606.17_5,	+	K00302:154:HGK25BBXY:1:1209:16346:13394,K00302:154:HGK25BBXY:1:2113:23054:1736,K00302:154:HGK25BBXY:1:2113:23470:2211,K00302:154:HGK25BBXY:1:2225:31832:35339,
chr1:2082229|2087531	chr1	2082229	2087531	2	2_2_0	231	0.017	exon	ENSG00000067606.17_5,	+	K00302:154:HGK25BBXY:1:1214:21724:21025,K00302:154:HGK25BBXY:1:1218:13667:43673,
chr1:6021854|6046387	chr1	6021854	6046387	2	2_2_0	5	0.444	exon	ENSG00000131697.18_5,	-	K00302:154:HGK25BBXY:1:2126:25865:24120,K00302:154:HGK25BBXY:1:2202:13190:3459,
chr1:6727769|6741097	chr1	6727769	6741097	3	3_3_0	86	0.065	exon	ENSG00000007923.16_4,	-	K00302:154:HGK25BBXY:1:1210:6837:8910,K00302:154:HGK25BBXY:1:2210:24880:4409,K00302:154:HGK25BBXY:1:2226:4675:5024,
chr1:6867043|6885270	chr1	6867043	6885270	2	2_2_0	98	0.039	exon	ENSG00000171735.19_4,	+	K00302:154:HGK25BBXY:1:1208:20090:41088,K00302:154:HGK25BBXY:1:2113:31111:34829,
chr1:6867043|6948959	chr1	6867043	6948959	2	2_1_1	8	0.333	intron	ENSG00000171735.19_4,	+	K00302:154:HGK25BBXY:1:1208:8674:42724,K00302:154:HGK25BBXY:1:2116:7405:22133,
chr1:6880241|6948959	chr1	6880241	6948959	2	1_0_2	73	0.052	intron	ENSG00000171735.19_4,	+	K00302:154:HGK25BBXY:1:2213:21359:47295,K00302:154:HGK25BBXY:1:2126:29731:11794,
chr1:7837220|7838229	chr1	7837220	7838229	33	28_11_13	95	0.410	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:1:1110:24413:38592,K00302:154:HGK25BBXY:1:1113:21349:42390,K00302:154:HGK25BBXY:1:1116:1387:41071,K00302:154:HGK25BBXY:1:2105:18659:42442,K00302:154:HGK25BBXY:1:2107:31954:26160,K00302:154:HGK25BBXY:1:1201:29731:28534,K00302:154:HGK25BBXY:1:1203:16873:19408,K00302:154:HGK25BBXY:1:1204:32309:41862,K00302:154:HGK25BBXY:1:1205:6603:34002,K00302:154:HGK25BBXY:1:1124:26606:4796,K00302:154:HGK25BBXY:1:1128:4614:10862,K00302:154:HGK25BBXY:1:1224:21186:25720,K00302:154:HGK25BBXY:1:2127:26687:44746,K00302:154:HGK25BBXY:1:1106:24099:20744,K00302:154:HGK25BBXY:1:1108:9922:29976,K00302:154:HGK25BBXY:1:1108:17665:36429,K00302:154:HGK25BBXY:1:2112:21866:10440,K00302:154:HGK25BBXY:1:2112:6979:32367,K00302:154:HGK25BBXY:1:2119:4076:17737,K00302:154:HGK25BBXY:1:2201:23794:5235,K00302:154:HGK25BBXY:1:2207:27174:16331,K00302:154:HGK25BBXY:1:1213:29640:8646,K00302:154:HGK25BBXY:1:2220:8308:23909,K00302:154:HGK25BBXY:1:2223:4848:19707,K00302:154:HGK25BBXY:1:2225:3183:25966,K00302:154:HGK25BBXY:1:2226:2290:9789,K00302:154:HGK25BBXY:1:2228:22587:42706,K00302:154:HGK25BBXY:1:1113:9080:41282,K00302:154:HGK25BBXY:1:1122:13717:46364,K00302:154:HGK25BBXY:1:2122:26595:7521,K00302:154:HGK25BBXY:1:1212:22414:10475,K00302:154:HGK25BBXY:1:2220:21673:26881,K00302:154:HGK25BBXY:1:2224:30837:8471,
chr1:7854017|7861251	chr1	7854017	7861251	2	0_2_2	137	0.028	exon	ENSG00000049246.14_2,	+	K00302:154:HGK25BBXY:1:1220:7537:37378,K00302:154:HGK25BBXY:1:2124:1783:48122,
chr1:7895822|7897209	chr1	7895822	7897209	4	4_4_0	103	0.072	exon	ENSG00000049246.14_2,	+	K00302:154:HGK25BBXY:1:1112:10003:36657,K00302:154:HGK25BBXY:1:2107:17553:15944,K00302:154:HGK25BBXY:1:2114:22993:47630,K00302:154:HGK25BBXY:1:2221:28118:4497,
chr1:8525985|8601377	chr1	8525985	8601377	4	3_3_0	273	0.028	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1109:7973:5569,K00302:154:HGK25BBXY:1:2208:23165:30274,K00302:154:HGK25BBXY:1:2208:23145:30345,K00302:154:HGK25BBXY:1:2225:11556:11741,
chr1:8525985|8617582	chr1	8525985	8617582	8	1_4_5	100	0.138	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1115:4807:1701,K00302:154:HGK25BBXY:1:2106:7293:3477,K00302:154:HGK25BBXY:1:2216:6715:11126,K00302:154:HGK25BBXY:1:1224:11617:40825,K00302:154:HGK25BBXY:1:1224:11485:42882,K00302:154:HGK25BBXY:1:2103:13656:13025,K00302:154:HGK25BBXY:1:2104:23602:38592,K00302:154:HGK25BBXY:1:2104:23734:39348,
chr1:8555123|8568734	chr1	8555123	8568734	3	2_1_3	226	0.026	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1113:14448:43445,K00302:154:HGK25BBXY:1:2102:21724:15082,K00302:154:HGK25BBXY:1:2201:16041:33088,
chr1:8555123|8601377	chr1	8555123	8601377	7	7_5_2	314	0.043	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:2218:21826:37519,K00302:154:HGK25BBXY:1:1121:29163:35989,K00302:154:HGK25BBXY:1:1224:31182:48456,K00302:154:HGK25BBXY:1:2124:23368:27285,K00302:154:HGK25BBXY:1:1104:3539:49124,K00302:154:HGK25BBXY:1:2115:18893:39049,K00302:154:HGK25BBXY:1:1215:17086:41335,
