circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	3	1_2_0	13	0.316	exon	ENSG00000230092.7_5,	-	K00302:154:HGK25BBXY:1:1104:23460:15627,K00302:154:HGK25BBXY:1:2123:18223:48790,K00302:154:HGK25BBXY:1:1203:29853:35743,
chr1:1747195|1756938	chr1	1747195	1756938	4	2_3_1	243	0.032	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:2207:10348:11794,K00302:154:HGK25BBXY:1:2207:9516:12919,K00302:154:HGK25BBXY:1:2228:20983:7961,K00302:154:HGK25BBXY:1:1224:18243:42530,
chr1:1747195|1770677	chr1	1747195	1770677	2	1_1_2	172	0.023	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:1215:7324:29026,K00302:154:HGK25BBXY:1:1216:14894:10669,
chr1:7837220|7838229	chr1	7837220	7838229	2	1_0_2	124	0.031	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:1:1223:24292:34055,K00302:154:HGK25BBXY:1:2101:23947:8981,
chr1:8555123|8617582	chr1	8555123	8617582	3	0_2_3	76	0.073	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:2228:17005:5640,K00302:154:HGK25BBXY:1:1127:7009:38468,K00302:154:HGK25BBXY:1:1201:19624:16471,
chr1:8601273|8617582	chr1	8601273	8617582	3	3_3_0	73	0.076	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:2205:28706:47682,K00302:154:HGK25BBXY:1:1108:12276:34266,K00302:154:HGK25BBXY:1:1223:16538:39717,
chr1:8601273|8674745	chr1	8601273	8674745	3	2_2_0	56	0.097	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:2110:28544:39945,K00302:154:HGK25BBXY:1:2110:28584:40156,K00302:154:HGK25BBXY:1:1103:22323:29237,
chr1:9991949|9994918	chr1	9991949	9994918	4	1_1_4	110	0.068	exon	ENSG00000162441.12_3,	-	K00302:154:HGK25BBXY:1:1123:28950:17474,K00302:154:HGK25BBXY:1:1220:14996:8875,K00302:154:HGK25BBXY:1:1108:23145:31400,K00302:154:HGK25BBXY:1:1212:2757:13447,
chr1:16044388|16047883	chr1	16044388	16047883	2	1_1_1	26	0.133	exon	ENSG00000116786.13_5,	+	K00302:154:HGK25BBXY:1:1216:28524:26758,K00302:154:HGK25BBXY:1:1224:27133:31136,
chr1:21083659|21100103	chr1	21083659	21100103	2	2_2_0	194	0.020	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:1:2118:11627:43867,K00302:154:HGK25BBXY:1:1218:14438:43427,
