circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	18	8_7_0	107	0.252	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:2125:29680:1613,K00302:179:HHYC5BBXY:1:2221:23429:33088,K00302:179:HHYC5BBXY:1:2225:15798:6958,K00302:179:HHYC5BBXY:1:2111:13149:29800,K00302:179:HHYC5BBXY:1:1221:24454:37923,K00302:179:HHYC5BBXY:1:2207:13108:29589,K00302:179:HHYC5BBXY:1:2214:11332:5341,K00302:179:HHYC5BBXY:1:2222:22079:35321,K00302:179:HHYC5BBXY:1:2107:8105:33088,K00302:179:HHYC5BBXY:1:2107:8044:33264,K00302:179:HHYC5BBXY:1:2107:7963:33299,K00302:179:HHYC5BBXY:1:2107:8115:33492,K00302:179:HHYC5BBXY:1:2107:9029:36974,K00302:179:HHYC5BBXY:1:1215:8907:6660,K00302:179:HHYC5BBXY:1:1217:15625:38521,K00302:179:HHYC5BBXY:1:1103:21136:45291,K00302:179:HHYC5BBXY:1:1103:21207:45379,K00302:179:HHYC5BBXY:1:1201:29274:24120,
chr1:1666129|1671143	chr1	1666129	1671143	2	1_2_0	16	0.200	exon	ENSG00000215790.7_5,	-	K00302:179:HHYC5BBXY:1:1204:13169:26424,K00302:179:HHYC5BBXY:1:2206:26666:3916,
chr1:1747195|1770677	chr1	1747195	1770677	4	4_4_0	296	0.026	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:1226:31801:39611,K00302:179:HHYC5BBXY:1:1226:31314:39717,K00302:179:HHYC5BBXY:1:1117:21623:42759,K00302:179:HHYC5BBXY:1:1128:12418:48087,
chr1:2066701|2082417	chr1	2066701	2082417	3	1_3_0	200	0.029	exon	ENSG00000067606.17_5,	+	K00302:179:HHYC5BBXY:1:2117:12053:42530,K00302:179:HHYC5BBXY:1:2102:30360:30820,K00302:179:HHYC5BBXY:1:1117:17310:14854,
chr1:6021854|6029319	chr1	6021854	6029319	2	2_2_0	5	0.444	exon	ENSG00000131697.18_5,	-	K00302:179:HHYC5BBXY:1:2119:30807:47419,K00302:179:HHYC5BBXY:1:1109:31720:9121,
chr1:6867043|6885270	chr1	6867043	6885270	3	2_2_0	56	0.097	exon	ENSG00000171735.19_4,	+	K00302:179:HHYC5BBXY:1:2124:12337:10739,K00302:179:HHYC5BBXY:1:1217:10206:15698,K00302:179:HHYC5BBXY:1:1217:9831:18704,
chr1:7837220|7838229	chr1	7837220	7838229	11	8_5_2	57	0.278	exon	ENSG00000049245.13_4,	+	K00302:179:HHYC5BBXY:1:2121:31538:45449,K00302:179:HHYC5BBXY:1:2208:20740:3002,K00302:179:HHYC5BBXY:1:2220:16914:32877,K00302:179:HHYC5BBXY:1:2222:20547:39664,K00302:179:HHYC5BBXY:1:2103:27925:40526,K00302:179:HHYC5BBXY:1:1218:15848:36200,K00302:179:HHYC5BBXY:1:1117:15990:39787,K00302:179:HHYC5BBXY:1:1209:6137:39277,K00302:179:HHYC5BBXY:1:2202:13027:1806,K00302:179:HHYC5BBXY:1:2101:14083:2791,K00302:179:HHYC5BBXY:1:1120:31020:10264,
chr1:7861173|7864739	chr1	7861173	7864739	2	2_1_0	31	0.114	intron	ENSG00000049246.14_2,	+	K00302:179:HHYC5BBXY:1:2103:20060:43744,K00302:179:HHYC5BBXY:1:2223:30908:39119,
chr1:7895822|7897209	chr1	7895822	7897209	2	2_1_0	30	0.118	exon	ENSG00000049246.14_2,	+	K00302:179:HHYC5BBXY:1:1224:10510:41616,K00302:179:HHYC5BBXY:1:1103:20638:44851,
chr1:8525985|8601377	chr1	8525985	8601377	3	2_2_0	191	0.030	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2202:27488:13957,K00302:179:HHYC5BBXY:1:2111:1651:36112,K00302:179:HHYC5BBXY:1:1204:23135:23610,
chr1:8525985|8617582	chr1	8525985	8617582	6	4_6_0	85	0.124	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2122:32248:34688,K00302:179:HHYC5BBXY:1:2215:4005:32666,K00302:179:HHYC5BBXY:1:1106:1357:9086,K00302:179:HHYC5BBXY:1:1202:29569:43339,K00302:179:HHYC5BBXY:1:2127:28422:47260,K00302:179:HHYC5BBXY:1:1122:15909:47524,
chr1:8525985|8674745	chr1	8525985	8674745	3	2_2_0	38	0.136	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1104:25378:14836,K00302:179:HHYC5BBXY:1:2228:14489:9192,K00302:179:HHYC5BBXY:1:2117:11515:11249,
