circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	4	3_4_0	409	0.019	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:1:1201:3488:34653,K00302:154:HGK25BBXY:1:1103:23084:3547,K00302:154:HGK25BBXY:1:2209:9780:18124,K00302:154:HGK25BBXY:1:2212:4482:15346,
chr1:1417518|1454370	chr1	1417518	1454370	4	4_3_0	6	0.571	intergenic_region	n/a	+	K00302:154:HGK25BBXY:1:1209:15026:28797,K00302:154:HGK25BBXY:1:2215:24992:15117,K00302:154:HGK25BBXY:1:1215:30431:47928,K00302:154:HGK25BBXY:1:2118:24342:7064,
chr1:1417925|1455686	chr1	1417925	1455686	7	3_7_4	24	0.368	intergenic_region	n/a	+	K00302:154:HGK25BBXY:1:2212:27143:14414,K00302:154:HGK25BBXY:1:2222:27854:1965,K00302:154:HGK25BBXY:1:2101:5122:2809,K00302:154:HGK25BBXY:1:2102:25428:12462,K00302:154:HGK25BBXY:1:1212:27945:33668,K00302:154:HGK25BBXY:1:2112:16569:46276,K00302:154:HGK25BBXY:1:1116:7375:22854,
chr1:7837220|7838229	chr1	7837220	7838229	2	2_1_1	100	0.038	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:1:1209:26027:31154,K00302:154:HGK25BBXY:1:1218:24474:36798,
chr1:8716032|8716500	chr1	8716032	8716500	2	2_2_0	38	0.095	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1204:9658:31136,K00302:154:HGK25BBXY:1:1220:29437:22538,
chr1:15768943|15770050	chr1	15768943	15770050	3	2_2_0	2	0.750	exon	ENSG00000162438.11_2,	+	K00302:154:HGK25BBXY:1:1109:25215:6501,K00302:154:HGK25BBXY:1:2124:26971:26459,K00302:154:HGK25BBXY:1:1217:7578:12515,
chr1:16044388|16047883	chr1	16044388	16047883	9	2_1_6	79	0.186	exon	ENSG00000116786.13_5,	+	K00302:154:HGK25BBXY:1:2216:20831:38996,K00302:154:HGK25BBXY:1:1106:22932:6238,K00302:154:HGK25BBXY:1:2124:28280:43497,K00302:154:HGK25BBXY:1:2124:28128:43691,K00302:154:HGK25BBXY:1:1118:24890:22784,K00302:154:HGK25BBXY:1:1206:12794:2281,K00302:154:HGK25BBXY:1:2217:30878:27426,K00302:154:HGK25BBXY:1:1214:2859:8594,K00302:154:HGK25BBXY:1:2208:26666:31382,
chr1:16891302|16893846	chr1	16891302	16893846	38	29_1_2	39	0.661	exon	ENSG00000219481.10_3,	-	K00302:154:HGK25BBXY:1:2224:27346:40895,K00302:154:HGK25BBXY:1:1201:29823:1543,K00302:154:HGK25BBXY:1:2211:22049:10264,K00302:154:HGK25BBXY:1:2211:14783:31576,K00302:154:HGK25BBXY:1:2213:22150:35374,K00302:154:HGK25BBXY:1:2215:22861:6396,K00302:154:HGK25BBXY:1:2215:26027:35479,K00302:154:HGK25BBXY:1:2218:7040:5851,K00302:154:HGK25BBXY:1:1123:21602:22960,K00302:154:HGK25BBXY:1:1124:2899:7609,K00302:154:HGK25BBXY:1:1125:6695:32543,K00302:154:HGK25BBXY:1:2222:28036:29114,K00302:154:HGK25BBXY:1:2224:27285:40965,K00302:154:HGK25BBXY:1:2226:19745:7152,K00302:154:HGK25BBXY:1:2228:11231:19126,K00302:154:HGK25BBXY:1:1103:21572:33387,K00302:154:HGK25BBXY:1:2120:24840:44851,K00302:154:HGK25BBXY:1:2103:23744:21500,K00302:154:HGK25BBXY:1:2107:10967:24085,K00302:154:HGK25BBXY:1:1212:20862:31347,K00302:154:HGK25BBXY:1:1215:24393:17702,K00302:154:HGK25BBXY:1:1215:8004:38750,K00302:154:HGK25BBXY:1:1219:7527:7961,K00302:154:HGK25BBXY:1:1221:10013:45643,K00302:154:HGK25BBXY:1:1222:7425:32613,K00302:154:HGK25BBXY:1:1227:17401:29747,K00302:154:HGK25BBXY:1:2112:17360:24648,K00302:154:HGK25BBXY:1:2114:16894:47577,K00302:154:HGK25BBXY:1:1115:22597:2035,K00302:154:HGK25BBXY:1:1115:1367:23030,K00302:154:HGK25BBXY:1:1116:22922:12339,K00302:154:HGK25BBXY:1:1116:3843:22397,K00302:154:HGK25BBXY:1:1119:13687:5235,K00302:154:HGK25BBXY:1:2201:10054:25914,K00302:154:HGK25BBXY:1:2202:6319:16665,K00302:154:HGK25BBXY:1:2202:5264:17509,K00302:154:HGK25BBXY:1:2206:31538:36376,K00302:154:HGK25BBXY:1:2208:22252:20392,
chr1:21267984|21307720	chr1	21267984	21307720	2	2_2_0	105	0.037	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:1207:13646:27778,K00302:154:HGK25BBXY:1:2112:12804:37537,
chr1:21295967|21307720	chr1	21295967	21307720	4	4_4_0	144	0.053	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:1204:18873:38592,K00302:154:HGK25BBXY:1:2217:28655:39893,K00302:154:HGK25BBXY:1:2224:20303:4567,K00302:154:HGK25BBXY:1:1117:22729:1842,
