circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	22	9_8_1	108	0.289	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:1227:9394:46328,K00302:179:HHYC5BBXY:1:2217:31030:6695,K00302:179:HHYC5BBXY:1:2101:9526:21307,K00302:179:HHYC5BBXY:1:2101:11860:21658,K00302:179:HHYC5BBXY:1:2101:9648:22045,K00302:179:HHYC5BBXY:1:2119:25976:16577,K00302:179:HHYC5BBXY:1:2202:23652:17860,K00302:179:HHYC5BBXY:1:2207:16407:45643,K00302:179:HHYC5BBXY:1:1102:3183:20621,K00302:179:HHYC5BBXY:1:1105:11951:13025,K00302:179:HHYC5BBXY:1:1108:18436:23698,K00302:179:HHYC5BBXY:1:1210:14489:37888,K00302:179:HHYC5BBXY:1:2212:29812:35567,K00302:179:HHYC5BBXY:1:2217:30320:21993,K00302:179:HHYC5BBXY:1:2220:12946:24525,K00302:179:HHYC5BBXY:1:2105:4411:22327,K00302:179:HHYC5BBXY:1:1126:20172:17350,K00302:179:HHYC5BBXY:1:1127:23754:7310,K00302:179:HHYC5BBXY:1:1202:12743:20058,K00302:179:HHYC5BBXY:1:1203:11728:10598,K00302:179:HHYC5BBXY:1:2203:30502:16331,K00302:179:HHYC5BBXY:1:2208:16721:40491,
chr1:1735858|1749314	chr1	1735858	1749314	4	3_3_0	500	0.016	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:2228:12885:30081,K00302:179:HHYC5BBXY:1:2128:27844:27795,K00302:179:HHYC5BBXY:1:1108:7090:24401,K00302:179:HHYC5BBXY:1:1113:1387:32806,
chr1:1747195|1770677	chr1	1747195	1770677	3	2_2_1	380	0.016	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:2104:25124:6238,K00302:179:HHYC5BBXY:1:2202:5609:32912,K00302:179:HHYC5BBXY:1:2215:10724:41247,
chr1:2066701|2087531	chr1	2066701	2087531	6	4_5_0	227	0.050	exon	ENSG00000067606.17_5,	+	K00302:179:HHYC5BBXY:1:1213:4888:33914,K00302:179:HHYC5BBXY:1:2107:25682:17790,K00302:179:HHYC5BBXY:1:2113:13321:20181,K00302:179:HHYC5BBXY:1:2113:13362:20287,K00302:179:HHYC5BBXY:1:2203:24596:43409,K00302:179:HHYC5BBXY:1:1118:24058:16207,
chr1:4771960|4772759	chr1	4771960	4772759	6	6_5_0	45	0.211	exon	ENSG00000196581.10_2,	+	K00302:179:HHYC5BBXY:1:1225:29498:3336,K00302:179:HHYC5BBXY:1:1226:21339:38363,K00302:179:HHYC5BBXY:1:2102:29041:13377,K00302:179:HHYC5BBXY:1:1102:31487:42935,K00302:179:HHYC5BBXY:1:1102:31203:43216,K00302:179:HHYC5BBXY:1:1209:20395:29061,
chr1:6021854|6046387	chr1	6021854	6046387	2	1_2_0	4	0.500	exon	ENSG00000131697.18_5,	-	K00302:179:HHYC5BBXY:1:2104:2798:40315,K00302:179:HHYC5BBXY:1:1114:14346:41686,
chr1:6291962|6292179	chr1	6291962	6292179	3	1_2_0	64	0.086	exon	ENSG00000116237.16_3,	-	K00302:179:HHYC5BBXY:1:2227:18659:22643,K00302:179:HHYC5BBXY:1:1226:9414:29448,K00302:179:HHYC5BBXY:1:1102:29559:46838,
chr1:7837220|7838229	chr1	7837220	7838229	8	5_1_3	69	0.188	exon	ENSG00000049245.13_4,	+	K00302:179:HHYC5BBXY:1:1101:16386:23979,K00302:179:HHYC5BBXY:1:1101:16386:24296,K00302:179:HHYC5BBXY:1:1105:28097:41669,K00302:179:HHYC5BBXY:1:1224:31649:2211,K00302:179:HHYC5BBXY:1:2106:13017:47014,K00302:179:HHYC5BBXY:1:1208:19796:25386,K00302:179:HHYC5BBXY:1:1116:14834:22168,K00302:179:HHYC5BBXY:1:1118:12195:12849,
chr1:7854017|7863908	chr1	7854017	7863908	5	2_2_0	57	0.149	exon	ENSG00000049246.14_2,	+	K00302:179:HHYC5BBXY:1:2103:11799:18740,K00302:179:HHYC5BBXY:1:2106:16264:38222,K00302:179:HHYC5BBXY:1:1103:11109:16770,K00302:179:HHYC5BBXY:1:1118:18081:48825,K00302:179:HHYC5BBXY:1:1118:17898:49107,
chr1:7863752|7864739	chr1	7863752	7864739	2	2_1_0	37	0.098	intron	ENSG00000049246.14_2,	+	K00302:179:HHYC5BBXY:1:1120:31233:30222,K00302:179:HHYC5BBXY:1:2125:28574:35251,
chr1:7895822|7897209	chr1	7895822	7897209	2	2_2_0	31	0.114	exon	ENSG00000049246.14_2,	+	K00302:179:HHYC5BBXY:1:2106:10876:42460,K00302:179:HHYC5BBXY:1:2118:26169:29958,
chr1:8482787|8674745	chr1	8482787	8674745	3	2_2_0	44	0.120	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2226:28036:10721,K00302:179:HHYC5BBXY:1:2128:6329:42425,K00302:179:HHYC5BBXY:1:1117:11606:4866,
chr1:8525985|8568734	chr1	8525985	8568734	2	2_1_1	143	0.027	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1216:16092:27830,K00302:179:HHYC5BBXY:1:2221:25692:16612,
chr1:8525985|8601377	chr1	8525985	8601377	4	1_2_0	248	0.031	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2223:7273:6009,K00302:179:HHYC5BBXY:1:1118:4685:30468,K00302:179:HHYC5BBXY:1:1224:25875:20515,K00302:179:HHYC5BBXY:1:2224:4513:19584,
