circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	15	8_7_0	74	0.288	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:2207:30360:35321,K00302:179:HHYC5BBXY:1:1202:14671:13377,K00302:179:HHYC5BBXY:1:2107:25033:10018,K00302:179:HHYC5BBXY:1:2107:24951:10405,K00302:179:HHYC5BBXY:1:2224:14255:22045,K00302:179:HHYC5BBXY:1:1214:13514:35567,K00302:179:HHYC5BBXY:1:1220:31375:41581,K00302:179:HHYC5BBXY:1:2128:29650:10141,K00302:179:HHYC5BBXY:1:1124:3579:28024,K00302:179:HHYC5BBXY:1:2104:24505:41387,K00302:179:HHYC5BBXY:1:2218:32451:11020,K00302:179:HHYC5BBXY:1:1215:20638:48403,K00302:179:HHYC5BBXY:1:1217:25438:19689,K00302:179:HHYC5BBXY:1:1104:23571:6044,K00302:179:HHYC5BBXY:1:1104:19887:7468,
chr1:1430865|1464711	chr1	1430865	1464711	3	3_2_0	6	0.500	intergenic_region	n/a	+	K00302:179:HHYC5BBXY:1:1119:19248:46065,K00302:179:HHYC5BBXY:1:1211:13758:16331,K00302:179:HHYC5BBXY:1:1203:7659:24788,
chr1:6021854|6046387	chr1	6021854	6046387	2	2_2_0	10	0.286	exon	ENSG00000131697.18_5,	-	K00302:179:HHYC5BBXY:1:2219:15321:33352,K00302:179:HHYC5BBXY:1:1105:31365:46768,
chr1:6727769|6741097	chr1	6727769	6741097	4	2_2_0	57	0.123	exon	ENSG00000007923.16_4,	-	K00302:179:HHYC5BBXY:1:1125:7486:48966,K00302:179:HHYC5BBXY:1:1126:8166:1754,K00302:179:HHYC5BBXY:1:1126:7547:1771,K00302:179:HHYC5BBXY:1:1127:5497:28463,
chr1:6880241|6948959	chr1	6880241	6948959	2	2_2_0	23	0.148	intron	ENSG00000171735.19_4,	+	K00302:179:HHYC5BBXY:1:1217:20517:23610,K00302:179:HHYC5BBXY:1:1228:22455:45045,
chr1:7837220|7838229	chr1	7837220	7838229	4	1_1_3	73	0.099	exon	ENSG00000049245.13_4,	+	K00302:179:HHYC5BBXY:1:1118:28047:23927,K00302:179:HHYC5BBXY:1:1217:24708:47155,K00302:179:HHYC5BBXY:1:1217:29346:47876,K00302:179:HHYC5BBXY:1:1226:4310:3231,
chr1:8525985|8568734	chr1	8525985	8568734	2	2_2_0	124	0.031	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2212:8826:11302,K00302:179:HHYC5BBXY:1:1221:6390:33141,
chr1:8525985|8617582	chr1	8525985	8617582	7	3_4_0	74	0.159	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2127:17198:39488,K00302:179:HHYC5BBXY:1:2127:16630:40508,K00302:179:HHYC5BBXY:1:1208:29021:43304,K00302:179:HHYC5BBXY:1:1217:18609:12392,K00302:179:HHYC5BBXY:1:1105:23226:7697,K00302:179:HHYC5BBXY:1:1105:23317:7820,K00302:179:HHYC5BBXY:1:1228:31223:36007,
chr1:8525985|8674745	chr1	8525985	8674745	2	1_2_0	27	0.129	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1208:4827:6343,K00302:179:HHYC5BBXY:1:2226:20527:35866,
chr1:8555123|8674745	chr1	8555123	8674745	35	16_15_1	53	0.569	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2119:12773:45572,K00302:179:HHYC5BBXY:1:2205:4493:6290,K00302:179:HHYC5BBXY:1:2205:29031:15539,K00302:179:HHYC5BBXY:1:2207:22059:10071,K00302:179:HHYC5BBXY:1:2209:29386:27760,K00302:179:HHYC5BBXY:1:1202:17563:35936,K00302:179:HHYC5BBXY:1:1209:31050:27162,K00302:179:HHYC5BBXY:1:1209:12063:29677,K00302:179:HHYC5BBXY:1:2110:31182:8893,K00302:179:HHYC5BBXY:1:2110:32339:9139,K00302:179:HHYC5BBXY:1:2110:32349:9192,K00302:179:HHYC5BBXY:1:2113:22008:46029,K00302:179:HHYC5BBXY:1:2212:31253:7574,K00302:179:HHYC5BBXY:1:2218:25489:13904,K00302:179:HHYC5BBXY:1:2220:25540:10299,K00302:179:HHYC5BBXY:1:2221:25012:16840,K00302:179:HHYC5BBXY:1:2226:5720:27373,K00302:179:HHYC5BBXY:1:1210:27671:12023,K00302:179:HHYC5BBXY:1:1218:31497:32508,K00302:179:HHYC5BBXY:1:1112:22495:4004,K00302:179:HHYC5BBXY:1:1112:22516:4075,K00302:179:HHYC5BBXY:1:1117:15168:23135,K00302:179:HHYC5BBXY:1:1203:25652:12040,K00302:179:HHYC5BBXY:1:2107:3123:4409,K00302:179:HHYC5BBXY:1:2107:2808:4919,K00302:179:HHYC5BBXY:1:2107:28584:21940,K00302:179:HHYC5BBXY:1:2111:6309:30257,K00302:179:HHYC5BBXY:1:2117:22749:27479,K00302:179:HHYC5BBXY:1:2118:24718:20304,K00302:179:HHYC5BBXY:1:2220:6867:42126,K00302:179:HHYC5BBXY:1:2221:2717:41546,K00302:179:HHYC5BBXY:1:2223:7253:7556,K00302:179:HHYC5BBXY:1:2225:32248:4690,K00302:179:HHYC5BBXY:1:2227:28544:15750,K00302:179:HHYC5BBXY:1:1210:28412:41968,
