circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	20	11_14_1	85	0.320	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:2102:9130:38486,K00302:179:HHYC5BBXY:1:2105:18335:19619,K00302:179:HHYC5BBXY:1:2107:6340:47647,K00302:179:HHYC5BBXY:1:2108:6888:1578,K00302:179:HHYC5BBXY:1:2215:11931:13306,K00302:179:HHYC5BBXY:1:2221:21328:7504,K00302:179:HHYC5BBXY:1:1116:19624:42249,K00302:179:HHYC5BBXY:1:1213:20892:36640,K00302:179:HHYC5BBXY:1:1226:3843:2316,K00302:179:HHYC5BBXY:1:1228:20172:28850,K00302:179:HHYC5BBXY:1:2206:5863:23645,K00302:179:HHYC5BBXY:1:1124:10297:11565,K00302:179:HHYC5BBXY:1:1201:23186:30380,K00302:179:HHYC5BBXY:1:2105:2524:41352,K00302:179:HHYC5BBXY:1:2110:5223:2879,K00302:179:HHYC5BBXY:1:2111:13575:2475,K00302:179:HHYC5BBXY:1:2111:13900:3459,K00302:179:HHYC5BBXY:1:1218:3701:15821,K00302:179:HHYC5BBXY:1:2126:22526:47419,K00302:179:HHYC5BBXY:1:1127:17949:7662,
chr1:2066701|2082417	chr1	2066701	2082417	4	2_3_0	191	0.040	exon	ENSG00000067606.17_5,	+	K00302:179:HHYC5BBXY:1:2108:14194:48561,K00302:179:HHYC5BBXY:1:1103:5964:44851,K00302:179:HHYC5BBXY:1:1103:5903:44886,K00302:179:HHYC5BBXY:1:2219:2432:26424,
chr1:2075649|2082417	chr1	2075649	2082417	2	2_1_0	192	0.020	exon	ENSG00000067606.17_5,	+	K00302:179:HHYC5BBXY:1:2210:21684:3266,K00302:179:HHYC5BBXY:1:2101:10206:4971,
chr1:4771960|4772759	chr1	4771960	4772759	2	1_1_1	32	0.111	exon	ENSG00000196581.10_2,	+	K00302:179:HHYC5BBXY:1:1125:19481:29448,K00302:179:HHYC5BBXY:1:2106:14407:12814,
chr1:6021854|6046387	chr1	6021854	6046387	3	1_3_0	15	0.286	exon	ENSG00000131697.18_5,	-	K00302:179:HHYC5BBXY:1:1114:10368:11266,K00302:179:HHYC5BBXY:1:2113:24129:48931,K00302:179:HHYC5BBXY:1:1227:27154:25087,
chr1:6291962|6293703	chr1	6291962	6293703	2	2_2_0	54	0.069	exon	ENSG00000116237.16_3,	-	K00302:179:HHYC5BBXY:1:1118:7131:27989,K00302:179:HHYC5BBXY:1:1121:27113:10633,
chr1:8525985|8617582	chr1	8525985	8617582	10	5_5_0	78	0.204	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2117:4706:17526,K00302:179:HHYC5BBXY:1:2219:1773:48878,K00302:179:HHYC5BBXY:1:2227:10470:30257,K00302:179:HHYC5BBXY:1:1118:28483:41774,K00302:179:HHYC5BBXY:1:2124:13687:27707,K00302:179:HHYC5BBXY:1:1124:16031:29940,K00302:179:HHYC5BBXY:1:2114:13646:12269,K00302:179:HHYC5BBXY:1:1112:6959:3002,K00302:179:HHYC5BBXY:1:1112:7019:3389,K00302:179:HHYC5BBXY:1:1114:18182:14889,
chr1:8525985|8674745	chr1	8525985	8674745	5	1_2_0	37	0.213	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2101:2534:37994,K00302:179:HHYC5BBXY:1:2112:14681:2070,K00302:179:HHYC5BBXY:1:2112:14803:2141,K00302:179:HHYC5BBXY:1:2112:13738:2158,K00302:179:HHYC5BBXY:1:1112:13291:1842,
chr1:8555123|8601377	chr1	8555123	8601377	4	4_4_0	178	0.043	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1221:17746:36464,K00302:179:HHYC5BBXY:1:1227:11718:31154,K00302:179:HHYC5BBXY:1:1228:4005:20990,K00302:179:HHYC5BBXY:1:1127:29092:34776,
chr1:8555123|8617582	chr1	8555123	8617582	27	15_11_0	98	0.355	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2103:18862:32560,K00302:179:HHYC5BBXY:1:2115:25773:43656,K00302:179:HHYC5BBXY:1:2115:25418:46170,K00302:179:HHYC5BBXY:1:2115:2970:48175,K00302:179:HHYC5BBXY:1:2115:3092:48948,K00302:179:HHYC5BBXY:1:2219:24038:3829,K00302:179:HHYC5BBXY:1:2226:2534:46856,K00302:179:HHYC5BBXY:1:2227:14225:12146,K00302:179:HHYC5BBXY:1:1104:23571:46838,K00302:179:HHYC5BBXY:1:1109:22861:6677,K00302:179:HHYC5BBXY:1:1109:22871:7082,K00302:179:HHYC5BBXY:1:1115:13778:46504,K00302:179:HHYC5BBXY:1:1210:16204:23311,K00302:179:HHYC5BBXY:1:1213:15311:45115,K00302:179:HHYC5BBXY:1:1222:15757:42583,K00302:179:HHYC5BBXY:1:2121:11749:27373,K00302:179:HHYC5BBXY:1:2203:7710:14959,K00302:179:HHYC5BBXY:1:1123:29244:27303,K00302:179:HHYC5BBXY:1:1123:26463:29483,K00302:179:HHYC5BBXY:1:2102:9658:44992,K00302:179:HHYC5BBXY:1:1214:29934:30995,K00302:179:HHYC5BBXY:1:1214:32593:31945,K00302:179:HHYC5BBXY:1:1222:30168:9702,K00302:179:HHYC5BBXY:1:1228:24292:16928,K00302:179:HHYC5BBXY:1:2207:31649:22784,K00302:179:HHYC5BBXY:1:1127:26332:14871,K00302:179:HHYC5BBXY:1:1207:29833:22098,
chr1:8555123|8674745	chr1	8555123	8674745	25	18_16_1	57	0.467	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2103:3731:42143,K00302:179:HHYC5BBXY:1:2117:31274:5429,K00302:179:HHYC5BBXY:1:2212:20243:42126,K00302:179:HHYC5BBXY:1:2223:24606:36112,K00302:179:HHYC5BBXY:1:1105:9333:20234,K00302:179:HHYC5BBXY:1:1117:22161:46645,K00302:179:HHYC5BBXY:1:1212:19938:35409,K00302:179:HHYC5BBXY:1:1214:9191:34618,K00302:179:HHYC5BBXY:1:1215:27620:43480,K00302:179:HHYC5BBXY:1:2124:21694:13693,K00302:179:HHYC5BBXY:1:2126:14955:8559,K00302:179:HHYC5BBXY:1:2128:27143:32173,K00302:179:HHYC5BBXY:1:2202:25581:7767,K00302:179:HHYC5BBXY:1:2202:10795:28182,K00302:179:HHYC5BBXY:1:2205:22841:19126,K00302:179:HHYC5BBXY:1:2208:30036:18054,K00302:179:HHYC5BBXY:1:1204:15848:3248,K00302:179:HHYC5BBXY:1:1207:12905:44113,K00302:179:HHYC5BBXY:1:2106:26443:46680,K00302:179:HHYC5BBXY:1:2108:32116:6994,K00302:179:HHYC5BBXY:1:2112:19887:37677,K00302:179:HHYC5BBXY:1:2115:21582:40930,K00302:179:HHYC5BBXY:1:1117:26626:30820,K00302:179:HHYC5BBXY:1:1222:26595:11108,K00302:179:HHYC5BBXY:1:1128:16884:6624,
chr1:8568686|8617582	chr1	8568686	8617582	16	9_10_5	145	0.181	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2104:28757:24314,K00302:179:HHYC5BBXY:1:2110:29406:32508,K00302:179:HHYC5BBXY:1:2116:31639:6167,K00302:179:HHYC5BBXY:1:2215:18599:31470,K00302:179:HHYC5BBXY:1:2227:11079:2334,K00302:179:HHYC5BBXY:1:1118:30310:11952,K00302:179:HHYC5BBXY:1:2120:12601:4479,K00302:179:HHYC5BBXY:1:2123:3224:16647,K00302:179:HHYC5BBXY:1:2124:5355:6906,K00302:179:HHYC5BBXY:1:1125:11099:44851,K00302:179:HHYC5BBXY:1:1202:12439:4549,K00302:179:HHYC5BBXY:1:2102:20111:9895,K00302:179:HHYC5BBXY:1:1105:11048:2844,K00302:179:HHYC5BBXY:1:2126:25550:11899,K00302:179:HHYC5BBXY:1:1125:24353:47735,K00302:179:HHYC5BBXY:1:1208:22455:44166,
chr1:8568686|8674745	chr1	8568686	8674745	2	2_2_0	104	0.037	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1226:23358:7539,K00302:179:HHYC5BBXY:1:1122:8968:39084,
