circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	9	1_2_3	18	0.500	exon	ENSG00000230092.7_5,	-	K00302:154:HGK25BBXY:1:2215:29366:26670,K00302:154:HGK25BBXY:1:1228:22769:46047,K00302:154:HGK25BBXY:1:1121:9211:31488,K00302:154:HGK25BBXY:1:1224:29883:20181,K00302:154:HGK25BBXY:1:1206:2158:35550,K00302:154:HGK25BBXY:1:2124:17239:17649,K00302:154:HGK25BBXY:1:2113:28300:7662,K00302:154:HGK25BBXY:1:2117:7994:39119,K00302:154:HGK25BBXY:1:1123:5700:45766,
chr1:1417925|1455686	chr1	1417925	1455686	2	1_2_1	6	0.400	intergenic_region	n/a	+	K00302:154:HGK25BBXY:1:2211:10754:17421,K00302:154:HGK25BBXY:1:1126:29051:3266,
chr1:1735858|1737977	chr1	1735858	1737977	2	2_2_0	637	0.006	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:1219:5751:8119,K00302:154:HGK25BBXY:1:2119:29427:6062,
chr1:1735858|1756938	chr1	1735858	1756938	4	2_2_0	533	0.015	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:2108:19948:7433,K00302:154:HGK25BBXY:1:2108:20029:7433,K00302:154:HGK25BBXY:1:2108:20050:7785,K00302:154:HGK25BBXY:1:2108:20040:7802,
chr1:1747195|1770677	chr1	1747195	1770677	2	1_0_2	468	0.008	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:1217:13677:28006,K00302:154:HGK25BBXY:1:1223:6989:16981,
chr1:6880241|6948959	chr1	6880241	6948959	2	1_0_2	67	0.056	intron	ENSG00000171735.19_4,	+	K00302:154:HGK25BBXY:1:1219:22668:23364,K00302:154:HGK25BBXY:1:1127:14742:47366,
chr1:7837220|7838229	chr1	7837220	7838229	8	5_1_4	203	0.073	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:1:1217:32634:37044,K00302:154:HGK25BBXY:1:1207:10318:12902,K00302:154:HGK25BBXY:1:2125:9851:22784,K00302:154:HGK25BBXY:1:2205:10977:23610,K00302:154:HGK25BBXY:1:2101:23581:8910,K00302:154:HGK25BBXY:1:1218:31883:45273,K00302:154:HGK25BBXY:1:2207:27823:42847,K00302:154:HGK25BBXY:1:2128:27387:25597,
chr1:8555123|8617582	chr1	8555123	8617582	2	1_0_2	140	0.028	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1228:11261:36868,K00302:154:HGK25BBXY:1:2224:9557:23540,
chr1:8555123|8674745	chr1	8555123	8674745	7	3_3_2	121	0.104	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:2225:17005:20586,K00302:154:HGK25BBXY:1:2125:14580:12163,K00302:154:HGK25BBXY:1:2125:13464:12656,K00302:154:HGK25BBXY:1:2127:5528:39629,K00302:154:HGK25BBXY:1:2103:20567:2774,K00302:154:HGK25BBXY:1:2112:23510:23557,K00302:154:HGK25BBXY:1:1127:7689:46961,
chr1:8601273|8617582	chr1	8601273	8617582	3	1_2_2	105	0.054	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1120:6593:20621,K00302:154:HGK25BBXY:1:2203:19218:29800,K00302:154:HGK25BBXY:1:1209:26342:38205,
chr1:8601273|8674745	chr1	8601273	8674745	4	3_4_1	88	0.083	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:2223:24261:4637,K00302:154:HGK25BBXY:1:2103:30766:43198,K00302:154:HGK25BBXY:1:1106:19461:36376,K00302:154:HGK25BBXY:1:1207:12337:21043,
chr1:8674620|8684439	chr1	8674620	8684439	2	2_1_0	102	0.038	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:2106:13017:7838,K00302:154:HGK25BBXY:1:2105:3549:15487,
chr1:8716032|8716500	chr1	8716032	8716500	4	4_4_0	126	0.060	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1226:21876:12708,K00302:154:HGK25BBXY:1:1214:20780:5499,K00302:154:HGK25BBXY:1:2212:23794:32420,K00302:154:HGK25BBXY:1:1104:25631:47102,
chr1:9800716|9801314	chr1	9800716	9801314	2	2_2_0	295	0.013	intron	ENSG00000171603.17_3,	-	K00302:154:HGK25BBXY:1:2223:16336:24700,K00302:154:HGK25BBXY:1:1201:31223:27250,
chr1:9815172|9816568	chr1	9815172	9816568	2	2_1_1	386	0.010	exon	ENSG00000171603.17_3,	-	K00302:154:HGK25BBXY:1:1228:2209:11583,K00302:154:HGK25BBXY:1:2103:32045:40280,
