circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	9	4_6_1	15	0.545	exon	ENSG00000230092.7_5,	-	K00302:154:HGK25BBXY:2:2107:5223:12867,K00302:154:HGK25BBXY:2:1204:10531:18265,K00302:154:HGK25BBXY:2:2212:5771:4532,K00302:154:HGK25BBXY:2:2212:17645:27989,K00302:154:HGK25BBXY:2:1109:8329:21377,K00302:154:HGK25BBXY:2:1118:19238:33598,K00302:154:HGK25BBXY:2:1128:29660:45572,K00302:154:HGK25BBXY:2:2227:29914:20480,K00302:154:HGK25BBXY:2:2201:3457:39348,
chr1:1158624|1159348	chr1	1158624	1159348	5	4_4_0	43	0.189	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:2:1120:8065:13957,K00302:154:HGK25BBXY:2:2124:29214:2598,K00302:154:HGK25BBXY:2:2101:26220:4971,K00302:154:HGK25BBXY:2:2211:3102:44781,K00302:154:HGK25BBXY:2:1113:26433:29325,
chr1:1747195|1756938	chr1	1747195	1756938	3	3_3_0	190	0.031	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:1118:20608:30239,K00302:154:HGK25BBXY:2:1206:25449:6554,K00302:154:HGK25BBXY:2:2102:28209:16823,
chr1:7837220|7838229	chr1	7837220	7838229	11	9_3_6	114	0.162	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:2:1117:28422:6114,K00302:154:HGK25BBXY:2:1224:29883:24401,K00302:154:HGK25BBXY:2:2222:5254:43269,K00302:154:HGK25BBXY:2:1105:20730:6044,K00302:154:HGK25BBXY:2:1106:3691:8312,K00302:154:HGK25BBXY:2:2119:28889:33932,K00302:154:HGK25BBXY:2:2124:19309:25668,K00302:154:HGK25BBXY:2:2124:5731:44060,K00302:154:HGK25BBXY:2:2217:3528:43726,K00302:154:HGK25BBXY:2:2121:15666:40104,K00302:154:HGK25BBXY:2:2101:13514:4479,
chr1:8525985|8568734	chr1	8525985	8568734	2	1_2_1	79	0.048	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:2112:23845:15592,K00302:154:HGK25BBXY:2:1210:14834:39154,
chr1:8555123|8617582	chr1	8555123	8617582	7	6_7_1	68	0.171	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1121:8806:39225,K00302:154:HGK25BBXY:2:1127:17817:10598,K00302:154:HGK25BBXY:2:2215:5589:32068,K00302:154:HGK25BBXY:2:2207:30756:42794,K00302:154:HGK25BBXY:2:2210:13687:32595,K00302:154:HGK25BBXY:2:1210:21014:44271,K00302:154:HGK25BBXY:2:1215:2686:24683,
chr1:8555123|8674745	chr1	8555123	8674745	4	2_2_1	54	0.129	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1227:18040:22801,K00302:154:HGK25BBXY:2:1227:18710:23329,K00302:154:HGK25BBXY:2:1108:31406:23768,K00302:154:HGK25BBXY:2:2120:13190:1209,
chr1:8568686|8617582	chr1	8568686	8617582	4	1_3_3	105	0.071	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1209:7973:7539,K00302:154:HGK25BBXY:2:2207:5162:7732,K00302:154:HGK25BBXY:2:1210:13474:41264,K00302:154:HGK25BBXY:2:2114:1692:22467,
chr1:8601273|8617582	chr1	8601273	8617582	27	13_13_6	80	0.403	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1124:19776:4637,K00302:154:HGK25BBXY:2:1127:30705:12497,K00302:154:HGK25BBXY:2:1201:5710:21518,K00302:154:HGK25BBXY:2:1221:1539:4971,K00302:154:HGK25BBXY:2:1221:27001:26687,K00302:154:HGK25BBXY:2:1206:16721:21817,K00302:154:HGK25BBXY:2:1102:25296:17825,K00302:154:HGK25BBXY:2:2119:32319:37449,K00302:154:HGK25BBXY:2:2121:31659:7187,K00302:154:HGK25BBXY:2:2122:11343:2404,K00302:154:HGK25BBXY:2:2216:10379:16032,K00302:154:HGK25BBXY:2:2218:13220:46557,K00302:154:HGK25BBXY:2:1225:30817:11671,K00302:154:HGK25BBXY:2:1228:22495:17755,K00302:154:HGK25BBXY:2:2114:12936:39699,K00302:154:HGK25BBXY:2:2115:25104:31277,K00302:154:HGK25BBXY:2:2117:10510:15240,K00302:154:HGK25BBXY:2:1108:26717:22749,K00302:154:HGK25BBXY:2:2105:11789:2756,K00302:154:HGK25BBXY:2:1203:15037:2826,K00302:154:HGK25BBXY:2:1210:24819:3143,K00302:154:HGK25BBXY:2:2216:19299:36622,K00302:154:HGK25BBXY:2:2213:19350:22467,K00302:154:HGK25BBXY:2:2213:19370:22467,K00302:154:HGK25BBXY:2:1214:12418:18124,K00302:154:HGK25BBXY:2:1214:12286:19337,K00302:154:HGK25BBXY:2:1214:10805:19865,
chr1:8601273|8674745	chr1	8601273	8674745	9	6_7_2	67	0.212	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1118:4777:11354,K00302:154:HGK25BBXY:2:1219:18791:25122,K00302:154:HGK25BBXY:2:2201:16447:22045,K00302:154:HGK25BBXY:2:2218:3569:36728,K00302:154:HGK25BBXY:2:2220:26200:2791,K00302:154:HGK25BBXY:2:2118:5690:7732,K00302:154:HGK25BBXY:2:1210:16396:11442,K00302:154:HGK25BBXY:2:1214:32055:33123,K00302:154:HGK25BBXY:2:1103:29751:21922,
chr1:8716032|8716500	chr1	8716032	8716500	5	5_4_0	64	0.135	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:2127:10927:26019,K00302:154:HGK25BBXY:2:1103:15838:26582,K00302:154:HGK25BBXY:2:2118:6238:45572,K00302:154:HGK25BBXY:2:1115:10784:41598,K00302:154:HGK25BBXY:2:2106:3579:25668,
chr1:9991949|9994918	chr1	9991949	9994918	9	6_6_4	59	0.234	exon	ENSG00000162441.12_3,	-	K00302:154:HGK25BBXY:2:1220:20841:11864,K00302:154:HGK25BBXY:2:2223:14215:41352,K00302:154:HGK25BBXY:2:2125:14549:44746,K00302:154:HGK25BBXY:2:2221:10115:15223,K00302:154:HGK25BBXY:2:2103:14661:32103,K00302:154:HGK25BBXY:2:2103:12733:36147,K00302:154:HGK25BBXY:2:1109:31680:48122,K00302:154:HGK25BBXY:2:2107:10886:33862,K00302:154:HGK25BBXY:2:2115:2128:37853,
chr1:10032076|10041228	chr1	10032076	10041228	3	3_3_0	18	0.250	exon	ENSG00000173614.14_4,	+	K00302:154:HGK25BBXY:2:2106:31436:9192,K00302:154:HGK25BBXY:2:2106:31416:9227,K00302:154:HGK25BBXY:2:2107:17655:43656,
chr1:10195046|10197263	chr1	10195046	10197263	2	2_2_0	47	0.078	exon	ENSG00000130939.19_4,	+	K00302:154:HGK25BBXY:2:1222:1580:47313,K00302:154:HGK25BBXY:2:2203:14407:45238,
chr1:10351140|10357304	chr1	10351140	10357304	2	1_1_1	512	0.008	exon	ENSG00000054523.17_4,	+	K00302:154:HGK25BBXY:2:2206:2290:27057,K00302:154:HGK25BBXY:2:1117:18751:14010,
chr1:10380101|10436734	chr1	10380101	10436734	2	1_1_1	438	0.009	exon	ENSG00000054523.17_4,	+	K00302:154:HGK25BBXY:2:1108:29843:30521,K00302:154:HGK25BBXY:2:2104:5304:4673,
chr1:10407819|10408791	chr1	10407819	10408791	7	2_5_4	344	0.039	exon	ENSG00000054523.17_4,	+	K00302:154:HGK25BBXY:2:1119:14245:24138,K00302:154:HGK25BBXY:2:1219:13504:3864,K00302:154:HGK25BBXY:2:1219:13575:4092,K00302:154:HGK25BBXY:2:2214:27032:47313,K00302:154:HGK25BBXY:2:1227:11637:17509,K00302:154:HGK25BBXY:2:1114:22323:42073,K00302:154:HGK25BBXY:2:2120:8714:46522,
chr1:10463128|10464336	chr1	10463128	10464336	3	2_3_1	38	0.136	exon	ENSG00000142657.21_4,	+	K00302:154:HGK25BBXY:2:1225:14001:19179,K00302:154:HGK25BBXY:2:1217:30269:2035,K00302:154:HGK25BBXY:2:1111:4239:35567,
chr1:10493899|10502498	chr1	10493899	10502498	4	2_2_0	10	0.444	exon	ENSG00000251503.8_6,	+	K00302:154:HGK25BBXY:2:1202:29061:28358,K00302:154:HGK25BBXY:2:1203:14610:43656,K00302:154:HGK25BBXY:2:1216:20303:48948,K00302:154:HGK25BBXY:2:1216:20141:49089,
chr1:12335882|12338095	chr1	12335882	12338095	4	1_4_0	98	0.075	exon	ENSG00000048707.15_5,	+	K00302:154:HGK25BBXY:2:2118:4797:25246,K00302:154:HGK25BBXY:2:2105:2889:26125,K00302:154:HGK25BBXY:2:1126:25926:18247,K00302:154:HGK25BBXY:2:2128:24708:45818,
chr1:14095613|14099683	chr1	14095613	14099683	3	1_3_2	38	0.136	exon	ENSG00000116731.22_3,	+	K00302:154:HGK25BBXY:2:2107:2372:12638,K00302:154:HGK25BBXY:2:2221:27417:39436,K00302:154:HGK25BBXY:2:2223:9171:19918,
chr1:14099573|14109326	chr1	14099573	14109326	2	2_2_0	38	0.095	exon	ENSG00000116731.22_3,	+	K00302:154:HGK25BBXY:2:1209:10602:7978,K00302:154:HGK25BBXY:2:2117:22150:46557,
chr1:15860732|15863309	chr1	15860732	15863309	2	2_2_0	53	0.070	exon	ENSG00000116138.13_3,	+	K00302:154:HGK25BBXY:2:2219:15595:20463,K00302:154:HGK25BBXY:2:2117:24200:1859,
chr1:16632298|16641930	chr1	16632298	16641930	3	2_2_0	30	0.167	exon	ENSG00000037637.11_4,	-	K00302:154:HGK25BBXY:2:1223:12987:11688,K00302:154:HGK25BBXY:2:2103:14610:28604,K00302:154:HGK25BBXY:2:2103:14925:28973,
chr1:19519927|19523759	chr1	19519927	19523759	2	1_2_0	82	0.047	exon	ENSG00000127481.15_4,	-	K00302:154:HGK25BBXY:2:1214:1215:33633,K00302:154:HGK25BBXY:2:1114:15838:4637,
chr1:21071237|21107033	chr1	21071237	21107033	2	2_2_0	86	0.044	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:2:2203:28361:42056,K00302:154:HGK25BBXY:2:2213:30878:5939,
chr1:21076216|21100103	chr1	21076216	21100103	8	8_8_0	178	0.082	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:2:1120:21572:14994,K00302:154:HGK25BBXY:2:1128:27093:30960,K00302:154:HGK25BBXY:2:2228:26423:36868,K00302:154:HGK25BBXY:2:2202:25215:7908,K00302:154:HGK25BBXY:2:2204:13453:14467,K00302:154:HGK25BBXY:2:1104:28635:45660,K00302:154:HGK25BBXY:2:2119:3407:24384,K00302:154:HGK25BBXY:2:1115:15067:9913,
chr1:21083659|21100103	chr1	21083659	21100103	12	6_10_3	231	0.094	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:2:1121:2067:43304,K00302:154:HGK25BBXY:2:1122:15716:9631,K00302:154:HGK25BBXY:2:2204:4340:5956,K00302:154:HGK25BBXY:2:2206:5690:19830,K00302:154:HGK25BBXY:2:1101:3742:37484,K00302:154:HGK25BBXY:2:1102:23754:49054,K00302:154:HGK25BBXY:2:2122:21095:47717,K00302:154:HGK25BBXY:2:2215:20689:26406,K00302:154:HGK25BBXY:2:2219:19877:24190,K00302:154:HGK25BBXY:2:2202:5244:36534,K00302:154:HGK25BBXY:2:2203:13524:41809,K00302:154:HGK25BBXY:2:1206:16356:48544,
chr1:21083659|21103243	chr1	21083659	21103243	3	2_2_0	293	0.020	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:2:1218:4564:36165,K00302:154:HGK25BBXY:2:1218:5010:37572,K00302:154:HGK25BBXY:2:1207:3478:15891,
chr1:21091870|21100103	chr1	21091870	21100103	2	2_2_0	240	0.016	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:2:2128:14610:10387,K00302:154:HGK25BBXY:2:1208:14062:2826,
chr1:21102217|21102498	chr1	21102217	21102498	2	2_1_0	59	0.063	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:2:2201:13017:41845,K00302:154:HGK25BBXY:2:2209:15158:25404,
chr1:21220010|21268823	chr1	21220010	21268823	12	11_10_0	130	0.156	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:2:2105:9597:10880,K00302:154:HGK25BBXY:2:2107:16823:46399,K00302:154:HGK25BBXY:2:2108:6695:10739,K00302:154:HGK25BBXY:2:1116:9810:29008,K00302:154:HGK25BBXY:2:1124:27367:28833,K00302:154:HGK25BBXY:2:1218:13494:36306,K00302:154:HGK25BBXY:2:1107:4117:6273,K00302:154:HGK25BBXY:2:2218:6908:45221,K00302:154:HGK25BBXY:2:2113:14225:21571,K00302:154:HGK25BBXY:2:2115:29041:23575,K00302:154:HGK25BBXY:2:2118:15574:8541,K00302:154:HGK25BBXY:2:1113:17127:32367,
chr1:21231376|21268823	chr1	21231376	21268823	11	5_7_4	160	0.121	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:2:1121:11231:29958,K00302:154:HGK25BBXY:2:1121:4736:31294,K00302:154:HGK25BBXY:2:1126:22729:34864,K00302:154:HGK25BBXY:2:1222:15341:38732,K00302:154:HGK25BBXY:2:2226:8887:26846,K00302:154:HGK25BBXY:2:2119:21065:6871,K00302:154:HGK25BBXY:2:2107:20628:25210,K00302:154:HGK25BBXY:2:1102:11322:5112,K00302:154:HGK25BBXY:2:2103:12916:35796,K00302:154:HGK25BBXY:2:2112:1448:21236,K00302:154:HGK25BBXY:2:1215:10835:48438,
chr1:21267984|21307720	chr1	21267984	21307720	3	3_3_0	167	0.035	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:2:1117:16863:11653,K00302:154:HGK25BBXY:2:1201:6847:20779,K00302:154:HGK25BBXY:2:1222:21115:31365,
chr1:21267984|21308901	chr1	21267984	21308901	3	2_0_2	129	0.044	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:2:1121:3995:23470,K00302:154:HGK25BBXY:2:1121:3853:24067,K00302:154:HGK25BBXY:2:2123:27620:37818,
chr1:21295967|21307720	chr1	21295967	21307720	3	3_3_0	127	0.045	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:2:2216:25398:36112,K00302:154:HGK25BBXY:2:2119:27062:18493,K00302:154:HGK25BBXY:2:1111:10023:47981,
chr1:21295967|21308901	chr1	21295967	21308901	4	4_0_4	89	0.082	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:2:2215:17503:35233,K00302:154:HGK25BBXY:2:2112:22881:3231,K00302:154:HGK25BBXY:2:2115:11373:32806,K00302:154:HGK25BBXY:2:2211:10795:12286,
