circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	4	4_4_0	119	0.063	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:1:2105:13321:47506,K00302:154:HGK25BBXY:1:1220:29346:27901,K00302:154:HGK25BBXY:1:1227:9993:16067,K00302:154:HGK25BBXY:1:1210:29305:5288,
chr1:1601103|1666274	chr1	1601103	1666274	4	3_4_1	4	0.667	intergenic_region	n/a	-	K00302:154:HGK25BBXY:1:1209:16650:19619,K00302:154:HGK25BBXY:1:1117:30776:9631,K00302:154:HGK25BBXY:1:1210:20953:24577,K00302:154:HGK25BBXY:1:1105:23723:12568,
chr1:1735858|1749314	chr1	1735858	1749314	3	3_1_2	386	0.015	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:1208:24972:27004,K00302:154:HGK25BBXY:1:1112:25296:31083,K00302:154:HGK25BBXY:1:2123:24525:15434,
chr1:6021854|6029319	chr1	6021854	6029319	2	2_1_0	15	0.211	exon	ENSG00000131697.18_5,	-	K00302:154:HGK25BBXY:1:1121:6106:28252,K00302:154:HGK25BBXY:1:1106:13758:46645,
chr1:7837220|7838229	chr1	7837220	7838229	10	7_3_3	183	0.099	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:1:2106:31193:42179,K00302:154:HGK25BBXY:1:1106:2524:19619,K00302:154:HGK25BBXY:1:2113:29904:4919,K00302:154:HGK25BBXY:1:2127:11079:14115,K00302:154:HGK25BBXY:1:2128:19451:20006,K00302:154:HGK25BBXY:1:2128:19471:20146,K00302:154:HGK25BBXY:1:2105:30969:2299,K00302:154:HGK25BBXY:1:1108:30513:6466,K00302:154:HGK25BBXY:1:2115:16325:36007,K00302:154:HGK25BBXY:1:2204:1499:47032,
chr1:8555123|8617582	chr1	8555123	8617582	6	5_4_1	84	0.125	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1126:8247:33299,K00302:154:HGK25BBXY:1:1207:5162:40965,K00302:154:HGK25BBXY:1:1110:31213:39787,K00302:154:HGK25BBXY:1:1105:17777:21219,K00302:154:HGK25BBXY:1:1227:2585:4462,K00302:154:HGK25BBXY:1:1210:17168:33563,
chr1:8568686|8674745	chr1	8568686	8674745	2	1_2_1	67	0.056	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1223:19319:11302,K00302:154:HGK25BBXY:1:2225:29112:6572,
chr1:8601273|8617582	chr1	8601273	8617582	9	5_5_4	62	0.225	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1226:9414:10141,K00302:154:HGK25BBXY:1:1228:5802:20340,K00302:154:HGK25BBXY:1:2211:18923:33440,K00302:154:HGK25BBXY:1:2217:3356:9666,K00302:154:HGK25BBXY:1:2225:3985:19865,K00302:154:HGK25BBXY:1:2205:6025:27338,K00302:154:HGK25BBXY:1:1228:10480:9069,K00302:154:HGK25BBXY:1:1205:9151:10809,K00302:154:HGK25BBXY:1:2128:12144:24577,
chr1:8601273|8674745	chr1	8601273	8674745	3	1_2_2	58	0.094	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1205:21328:14572,K00302:154:HGK25BBXY:1:1114:18842:44236,K00302:154:HGK25BBXY:1:2113:7212:10370,
chr1:8716032|8716500	chr1	8716032	8716500	2	2_2_0	56	0.067	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:1228:26240:39260,K00302:154:HGK25BBXY:1:1120:22252:24296,
chr1:9991949|9994918	chr1	9991949	9994918	7	2_3_5	110	0.113	exon	ENSG00000162441.12_3,	-	K00302:154:HGK25BBXY:1:1213:20821:12638,K00302:154:HGK25BBXY:1:1219:11698:7416,K00302:154:HGK25BBXY:1:2127:7791:31804,K00302:154:HGK25BBXY:1:2202:29234:22819,K00302:154:HGK25BBXY:1:2207:18051:46065,K00302:154:HGK25BBXY:1:2218:17289:41335,K00302:154:HGK25BBXY:1:2209:16447:41634,
chr1:10423341|10425706	chr1	10423341	10425706	2	0_2_2	64	0.059	exon	ENSG00000054523.17_4,	+	K00302:154:HGK25BBXY:1:2206:8460:41088,K00302:154:HGK25BBXY:1:2207:5558:48368,
chr1:12335882|12338095	chr1	12335882	12338095	2	2_2_0	89	0.043	exon	ENSG00000048707.15_5,	+	K00302:154:HGK25BBXY:1:2110:2980:1912,K00302:154:HGK25BBXY:1:2221:10825:13007,
chr1:12638746|12639440	chr1	12638746	12639440	2	2_2_0	66	0.057	exon	ENSG00000162496.9_3,	-	K00302:154:HGK25BBXY:1:1218:9384:31329,K00302:154:HGK25BBXY:1:2214:14052:10124,
chr1:14057495|14068652	chr1	14057495	14068652	3	2_2_0	10	0.375	exon	ENSG00000116731.22_3,	+	K00302:154:HGK25BBXY:1:2109:13047:39858,K00302:154:HGK25BBXY:1:2109:13058:39875,K00302:154:HGK25BBXY:1:1205:21694:46786,
chr1:14099573|14109326	chr1	14099573	14109326	2	1_2_0	50	0.074	exon	ENSG00000116731.22_3,	+	K00302:154:HGK25BBXY:1:2103:14458:37554,K00302:154:HGK25BBXY:1:1116:17452:8664,
chr1:16044388|16047883	chr1	16044388	16047883	3	3_2_1	32	0.158	exon	ENSG00000116786.13_5,	+	K00302:154:HGK25BBXY:1:1209:1661:20410,K00302:154:HGK25BBXY:1:1115:29934:3178,K00302:154:HGK25BBXY:1:1216:28716:42179,
chr1:16632298|16641930	chr1	16632298	16641930	2	1_1_1	86	0.044	exon	ENSG00000037637.11_4,	-	K00302:154:HGK25BBXY:1:2112:10389:40596,K00302:154:HGK25BBXY:1:1127:26169:22186,
chr1:17907048|17914974	chr1	17907048	17914974	4	1_1_4	9	0.471	exon	ENSG00000074964.17_4,	+	K00302:154:HGK25BBXY:1:1220:21257:1578,K00302:154:HGK25BBXY:1:2203:11383:6519,K00302:154:HGK25BBXY:1:1207:24444:47682,K00302:154:HGK25BBXY:1:1218:27965:23645,
chr1:21076216|21100103	chr1	21076216	21100103	3	3_2_0	208	0.028	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:1:2123:17259:17896,K00302:154:HGK25BBXY:1:2227:8105:25246,K00302:154:HGK25BBXY:1:1102:19887:10141,
chr1:21097423|21100103	chr1	21097423	21100103	3	1_2_0	231	0.025	exon	ENSG00000127483.18_4,	-	K00302:154:HGK25BBXY:1:2214:12246:16172,K00302:154:HGK25BBXY:1:1121:29548:9403,K00302:154:HGK25BBXY:1:2121:28463:8541,
chr1:21220010|21268823	chr1	21220010	21268823	2	2_2_0	106	0.036	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:1219:12043:9666,K00302:154:HGK25BBXY:1:2113:18162:12181,
chr1:21231376|21268823	chr1	21231376	21268823	2	2_2_0	134	0.029	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:1211:18254:20568,K00302:154:HGK25BBXY:1:2115:14783:4462,
chr1:21295967|21307720	chr1	21295967	21307720	6	5_6_0	128	0.086	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:1128:22597:23733,K00302:154:HGK25BBXY:1:1208:14986:1367,K00302:154:HGK25BBXY:1:1112:3407:41053,K00302:154:HGK25BBXY:1:2215:5183:6642,K00302:154:HGK25BBXY:1:2219:26656:42900,K00302:154:HGK25BBXY:1:1203:14438:19443,
chr1:21295967|21329301	chr1	21295967	21329301	6	5_3_2	129	0.085	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:1219:25347:26177,K00302:154:HGK25BBXY:1:1219:26027:27531,K00302:154:HGK25BBXY:1:1224:8866:35743,K00302:154:HGK25BBXY:1:1126:2737:48122,K00302:154:HGK25BBXY:1:1102:5132:6624,K00302:154:HGK25BBXY:1:1109:19898:9737,
chr1:21327692|21329301	chr1	21327692	21329301	5	3_2_2	97	0.093	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:1124:30827:7890,K00302:154:HGK25BBXY:1:1124:30553:8330,K00302:154:HGK25BBXY:1:2117:15716:34846,K00302:154:HGK25BBXY:1:2221:15158:15592,K00302:154:HGK25BBXY:1:1201:29954:45238,
chr1:21327692|21415706	chr1	21327692	21415706	3	1_1_1	125	0.046	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:2220:2554:8172,K00302:154:HGK25BBXY:1:2220:2595:8207,K00302:154:HGK25BBXY:1:2116:18254:27426,
chr1:21377359|21437876	chr1	21377359	21437876	3	2_1_1	105	0.054	exon	ENSG00000075151.20_3,	-	K00302:154:HGK25BBXY:1:1209:3224:44253,K00302:154:HGK25BBXY:1:1209:4046:45185,K00302:154:HGK25BBXY:1:2116:2524:43462,
chr1:22027991|22030111	chr1	22027991	22030111	2	1_1_1	80	0.048	exon	ENSG00000090686.15_2,	-	K00302:154:HGK25BBXY:1:2109:31558:49212,K00302:154:HGK25BBXY:1:1118:32136:37835,
chr1:22041882|22048257	chr1	22041882	22048257	2	1_1_1	73	0.052	exon	ENSG00000090686.15_2,	-	K00302:154:HGK25BBXY:1:2228:18578:20252,K00302:154:HGK25BBXY:1:2225:28067:22837,
chr1:22596003|22596846	chr1	22596003	22596846	2	2_2_0	0	1	intergenic_region	n/a	+	K00302:154:HGK25BBXY:1:2228:4310:25421,K00302:154:HGK25BBXY:1:2206:7659:15469,
chr1:23356962|23370979	chr1	23356962	23370979	2	2_1_1	46	0.080	exon	ENSG00000004487.16_5,	+	K00302:154:HGK25BBXY:1:2103:10419:18529,K00302:154:HGK25BBXY:1:1226:29894:17878,
