circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	27	16_12_0	124	0.303	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:2122:15716:19267,K00302:179:HHYC5BBXY:1:2126:22100:17280,K00302:179:HHYC5BBXY:1:2202:7334:23065,K00302:179:HHYC5BBXY:1:2203:14468:5745,K00302:179:HHYC5BBXY:1:2203:24962:7715,K00302:179:HHYC5BBXY:1:1211:26423:8031,K00302:179:HHYC5BBXY:1:1218:31680:31488,K00302:179:HHYC5BBXY:1:1226:23906:37220,K00302:179:HHYC5BBXY:1:2107:20598:34723,K00302:179:HHYC5BBXY:1:2109:12499:7890,K00302:179:HHYC5BBXY:1:2111:4817:32560,K00302:179:HHYC5BBXY:1:2111:4726:32754,K00302:179:HHYC5BBXY:1:2115:15828:14572,K00302:179:HHYC5BBXY:1:2117:20354:2897,K00302:179:HHYC5BBXY:1:2221:29467:3741,K00302:179:HHYC5BBXY:1:2223:28808:35128,K00302:179:HHYC5BBXY:1:2226:14986:47964,K00302:179:HHYC5BBXY:1:1101:9729:45607,K00302:179:HHYC5BBXY:1:1116:1215:12357,K00302:179:HHYC5BBXY:1:1128:11515:25668,K00302:179:HHYC5BBXY:1:1202:27499:18300,K00302:179:HHYC5BBXY:1:2119:10358:17438,K00302:179:HHYC5BBXY:1:2122:11688:20269,K00302:179:HHYC5BBXY:1:1222:24667:19584,K00302:179:HHYC5BBXY:1:2225:10084:15698,K00302:179:HHYC5BBXY:1:2225:21836:20832,K00302:179:HHYC5BBXY:1:1107:10622:10862,
chr1:1430865|1464711	chr1	1430865	1464711	2	2_2_0	2	0.667	intergenic_region	n/a	+	K00302:179:HHYC5BBXY:1:2124:3965:10194,K00302:179:HHYC5BBXY:1:1209:7943:39910,
chr1:1735858|1749314	chr1	1735858	1749314	2	2_1_0	444	0.009	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:2118:20375:45977,K00302:179:HHYC5BBXY:1:1217:1428:14449,
chr1:1747195|1756938	chr1	1747195	1756938	2	2_2_0	422	0.009	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:2118:5244:34741,K00302:179:HHYC5BBXY:1:2219:7628:14291,
chr1:1747195|1770677	chr1	1747195	1770677	2	2_2_0	334	0.012	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:2203:26839:28129,K00302:179:HHYC5BBXY:1:2112:10023:11653,
chr1:2066701|2082417	chr1	2066701	2082417	2	2_2_0	258	0.015	exon	ENSG00000067606.17_5,	+	K00302:179:HHYC5BBXY:1:2203:18710:5394,K00302:179:HHYC5BBXY:1:1216:25956:31101,
chr1:2066701|2087531	chr1	2066701	2087531	3	1_2_0	184	0.032	exon	ENSG00000067606.17_5,	+	K00302:179:HHYC5BBXY:1:2205:2849:33756,K00302:179:HHYC5BBXY:1:2111:3721:28868,K00302:179:HHYC5BBXY:1:2226:20496:1947,
chr1:5987709|6029319	chr1	5987709	6029319	2	1_2_0	8	0.333	exon	ENSG00000131697.18_5,	-	K00302:179:HHYC5BBXY:1:1128:10987:11530,K00302:179:HHYC5BBXY:1:2209:14489:35075,
chr1:6021854|6046387	chr1	6021854	6046387	3	2_2_0	11	0.353	exon	ENSG00000131697.18_5,	-	K00302:179:HHYC5BBXY:1:2103:9090:11618,K00302:179:HHYC5BBXY:1:2122:27854:38961,K00302:179:HHYC5BBXY:1:1226:4594:37308,
chr1:6727769|6741097	chr1	6727769	6741097	4	3_3_0	49	0.140	exon	ENSG00000007923.16_4,	-	K00302:179:HHYC5BBXY:1:2204:11008:35620,K00302:179:HHYC5BBXY:1:1216:21511:42495,K00302:179:HHYC5BBXY:1:1219:23805:26318,K00302:179:HHYC5BBXY:1:2216:7821:25421,
