circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	13	10_12_0	123	0.174	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:1:1118:28787:5235,K00302:154:HGK25BBXY:1:1123:23125:18458,K00302:154:HGK25BBXY:1:2213:19410:31154,K00302:154:HGK25BBXY:1:2221:15696:42935,K00302:154:HGK25BBXY:1:1207:4848:10774,K00302:154:HGK25BBXY:1:1209:17015:41669,K00302:154:HGK25BBXY:1:2215:4817:48702,K00302:154:HGK25BBXY:1:2218:10602:45607,K00302:154:HGK25BBXY:1:1226:19553:31013,K00302:154:HGK25BBXY:1:1228:3772:16155,K00302:154:HGK25BBXY:1:2103:2016:30310,K00302:154:HGK25BBXY:1:2206:28818:17632,K00302:154:HGK25BBXY:1:1107:7192:32666,
chr1:1572443|1635434	chr1	1572443	1635434	2	2_2_0	7	0.364	intergenic_region	n/a	-	K00302:154:HGK25BBXY:1:2106:23013:15381,K00302:154:HGK25BBXY:1:2226:23246:10018,
chr1:1601103|1666274	chr1	1601103	1666274	4	3_4_1	5	0.615	intergenic_region	n/a	-	K00302:154:HGK25BBXY:1:2104:9617:42179,K00302:154:HGK25BBXY:1:1223:2595:32543,K00302:154:HGK25BBXY:1:1216:19654:8435,K00302:154:HGK25BBXY:1:2217:30036:38345,
chr1:1747195|1770677	chr1	1747195	1770677	6	2_3_2	382	0.030	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:1213:2412:4198,K00302:154:HGK25BBXY:1:1213:2047:4901,K00302:154:HGK25BBXY:1:2117:8176:14432,K00302:154:HGK25BBXY:1:2122:10013:33440,K00302:154:HGK25BBXY:1:2126:1489:27180,K00302:154:HGK25BBXY:1:2123:4117:17456,
chr1:2066701|2082417	chr1	2066701	2082417	4	3_3_1	136	0.056	exon	ENSG00000067606.17_5,	+	K00302:154:HGK25BBXY:1:2208:31903:16084,K00302:154:HGK25BBXY:1:2218:17594:17456,K00302:154:HGK25BBXY:1:1226:29559:30732,K00302:154:HGK25BBXY:1:1105:24748:48772,
chr1:5987709|5993389	chr1	5987709	5993389	3	2_2_0	21	0.222	exon	ENSG00000131697.18_5,	-	K00302:154:HGK25BBXY:1:1222:26230:48210,K00302:154:HGK25BBXY:1:2222:27397:38873,K00302:154:HGK25BBXY:1:2123:29305:19707,
chr1:6021854|6046387	chr1	6021854	6046387	2	1_2_0	21	0.160	exon	ENSG00000131697.18_5,	-	K00302:154:HGK25BBXY:1:2102:5528:42653,K00302:154:HGK25BBXY:1:1123:31111:11688,
chr1:6867043|6885270	chr1	6867043	6885270	2	2_1_0	93	0.041	exon	ENSG00000171735.19_4,	+	K00302:154:HGK25BBXY:1:1115:24160:33053,K00302:154:HGK25BBXY:1:2119:16549:25562,
chr1:7837220|7838229	chr1	7837220	7838229	10	7_2_7	100	0.167	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:1:1111:9232:44992,K00302:154:HGK25BBXY:1:1111:8836:45150,K00302:154:HGK25BBXY:1:1112:1225:48702,K00302:154:HGK25BBXY:1:2225:27793:4497,K00302:154:HGK25BBXY:1:2102:25946:43286,K00302:154:HGK25BBXY:1:1101:15564:23329,K00302:154:HGK25BBXY:1:1101:25915:31699,K00302:154:HGK25BBXY:1:1104:19197:31769,K00302:154:HGK25BBXY:1:2228:14783:46698,K00302:154:HGK25BBXY:1:1226:8897:47331,
chr1:8525985|8617582	chr1	8525985	8617582	3	2_2_1	77	0.072	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:1:2109:20699:36024,K00302:154:HGK25BBXY:1:2212:14194:25386,K00302:154:HGK25BBXY:1:1121:20415:13236,
