circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	5	3_4_0	126	0.074	exon	ENSG00000078808.16_3,	-	K00302:116:H3TF5BBXY:5:2214:9841:36165,K00302:116:H3TF5BBXY:5:1125:15422:1455,K00302:116:H3TF5BBXY:5:2127:12784:15838,K00302:116:H3TF5BBXY:5:2103:22445:41229,K00302:116:H3TF5BBXY:5:2115:11718:11671,
chr1:1601103|1666274	chr1	1601103	1666274	7	3_4_0	4	0.778	intergenic_region	n/a	-	K00302:116:H3TF5BBXY:5:1223:11475:45607,K00302:116:H3TF5BBXY:5:2225:21420:10194,K00302:116:H3TF5BBXY:5:1201:17787:1965,K00302:116:H3TF5BBXY:5:1209:22445:40596,K00302:116:H3TF5BBXY:5:1223:25357:38644,K00302:116:H3TF5BBXY:5:2105:3660:28938,K00302:116:H3TF5BBXY:5:1112:10886:23557,
chr1:7837220|7838229	chr1	7837220	7838229	12	9_7_2	177	0.119	exon	ENSG00000049245.13_4,	+	K00302:116:H3TF5BBXY:5:2202:14610:12814,K00302:116:H3TF5BBXY:5:1223:30858:28762,K00302:116:H3TF5BBXY:5:2103:18862:31681,K00302:116:H3TF5BBXY:5:2211:1884:43198,K00302:116:H3TF5BBXY:5:2225:22404:1209,K00302:116:H3TF5BBXY:5:2225:21643:1859,K00302:116:H3TF5BBXY:5:1207:16528:48491,K00302:116:H3TF5BBXY:5:1209:2818:2897,K00302:116:H3TF5BBXY:5:2111:13464:47717,K00302:116:H3TF5BBXY:5:2213:5903:14924,K00302:116:H3TF5BBXY:5:1110:4787:26810,K00302:116:H3TF5BBXY:5:1112:27783:34371,
chr1:8601273|8617582	chr1	8601273	8617582	5	3_4_0	56	0.152	exon	ENSG00000142599.18_5,	-	K00302:116:H3TF5BBXY:5:2202:24525:10264,K00302:116:H3TF5BBXY:5:2113:6644:4462,K00302:116:H3TF5BBXY:5:1104:8592:41739,K00302:116:H3TF5BBXY:5:1104:8440:42776,K00302:116:H3TF5BBXY:5:1102:11302:10317,
chr1:8716032|8716500	chr1	8716032	8716500	4	4_4_0	27	0.229	exon	ENSG00000142599.18_5,	-	K00302:116:H3TF5BBXY:5:1213:3823:15399,K00302:116:H3TF5BBXY:5:2101:24403:27531,K00302:116:H3TF5BBXY:5:1126:11353:30696,K00302:116:H3TF5BBXY:5:1206:31517:43761,
chr1:9119725|9121568	chr1	9119725	9121568	2	2_1_0	6	0.400	intron	ENSG00000142583.17_3,	+	K00302:116:H3TF5BBXY:5:2106:2250:18194,K00302:116:H3TF5BBXY:5:2209:32035:47964,
chr1:9991949|9994918	chr1	9991949	9994918	3	3_3_0	46	0.115	exon	ENSG00000162441.12_3,	-	K00302:116:H3TF5BBXY:5:2206:10673:3987,K00302:116:H3TF5BBXY:5:1218:28635:15522,K00302:116:H3TF5BBXY:5:1203:8907:39541,
chr1:9991949|9995685	chr1	9991949	9995685	2	2_2_0	52	0.071	exon	ENSG00000162441.12_3,	-	K00302:116:H3TF5BBXY:5:1116:12023:10792,K00302:116:H3TF5BBXY:5:1128:25865:41704,
chr1:10351140|10357304	chr1	10351140	10357304	4	2_2_0	111	0.067	exon	ENSG00000054523.17_4,	+	K00302:116:H3TF5BBXY:5:2221:12642:1912,K00302:116:H3TF5BBXY:5:1124:31791:22995,K00302:116:H3TF5BBXY:5:1202:20283:47823,K00302:116:H3TF5BBXY:5:1202:20050:48016,
chr1:10500404|10502498	chr1	10500404	10502498	2	1_2_0	8	0.333	exon	ENSG00000251503.8_6,	+	K00302:116:H3TF5BBXY:5:1227:12225:35339,K00302:116:H3TF5BBXY:5:1215:16640:40596,
chr1:11133991|11137005	chr1	11133991	11137005	2	2_1_0	49	0.075	exon	ENSG00000171824.14_4,	-	K00302:116:H3TF5BBXY:5:1223:27316:43620,K00302:116:H3TF5BBXY:5:2127:29346:998,
chr1:12061458|12062160	chr1	12061458	12062160	3	1_3_0	55	0.098	exon	ENSG00000116688.16_5,	+	K00302:116:H3TF5BBXY:5:1209:12713:8646,K00302:116:H3TF5BBXY:5:2127:15686:27479,K00302:116:H3TF5BBXY:5:1212:31933:26476,
chr1:12335882|12338095	chr1	12335882	12338095	2	2_1_0	64	0.059	exon	ENSG00000048707.15_5,	+	K00302:116:H3TF5BBXY:5:1216:26778:6747,K00302:116:H3TF5BBXY:5:1123:15757:35972,
