circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	4	1_3_0	2	0.800	exon	ENSG00000230092.7_5,	-	K00302:179:HHYC5BBXY:1:2209:20760:37396,K00302:179:HHYC5BBXY:1:1210:20151:12357,K00302:179:HHYC5BBXY:1:2203:5619:33246,K00302:179:HHYC5BBXY:1:1120:26291:36956,
chr1:1158624|1159348	chr1	1158624	1159348	20	10_10_0	96	0.294	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:1224:18304:40877,K00302:179:HHYC5BBXY:1:1227:15463:7187,K00302:179:HHYC5BBXY:1:2121:29660:31013,K00302:179:HHYC5BBXY:1:2128:25773:45097,K00302:179:HHYC5BBXY:1:2206:16193:39471,K00302:179:HHYC5BBXY:1:1202:11688:25439,K00302:179:HHYC5BBXY:1:1202:7375:39981,K00302:179:HHYC5BBXY:1:1101:27681:6976,K00302:179:HHYC5BBXY:1:1102:6066:44675,K00302:179:HHYC5BBXY:1:1107:10987:9983,K00302:179:HHYC5BBXY:1:1210:20456:15909,K00302:179:HHYC5BBXY:1:2119:3092:23487,K00302:179:HHYC5BBXY:1:2124:15260:13939,K00302:179:HHYC5BBXY:1:2204:9465:44482,K00302:179:HHYC5BBXY:1:1207:20385:6185,K00302:179:HHYC5BBXY:1:1111:10429:8031,K00302:179:HHYC5BBXY:1:2103:21816:46645,K00302:179:HHYC5BBXY:1:2104:8471:43216,K00302:179:HHYC5BBXY:1:2217:6116:1824,K00302:179:HHYC5BBXY:1:2227:16528:12445,
chr1:2066701|2087531	chr1	2066701	2087531	4	3_3_0	157	0.048	exon	ENSG00000067606.17_5,	+	K00302:179:HHYC5BBXY:1:2204:14590:24525,K00302:179:HHYC5BBXY:1:1112:7547:4338,K00302:179:HHYC5BBXY:1:1111:5457:44289,K00302:179:HHYC5BBXY:1:2118:7090:25632,
chr1:6867043|6948959	chr1	6867043	6948959	3	2_2_1	3	0.667	intron	ENSG00000171735.19_4,	+	K00302:179:HHYC5BBXY:1:2128:32045:33633,K00302:179:HHYC5BBXY:1:2102:13920:44394,K00302:179:HHYC5BBXY:1:1114:17990:48983,
chr1:7837220|7838229	chr1	7837220	7838229	11	6_5_0	72	0.234	exon	ENSG00000049245.13_4,	+	K00302:179:HHYC5BBXY:1:1224:27428:4145,K00302:179:HHYC5BBXY:1:1225:29762:27567,K00302:179:HHYC5BBXY:1:2128:8663:40877,K00302:179:HHYC5BBXY:1:1119:13869:43462,K00302:179:HHYC5BBXY:1:1202:26301:15029,K00302:179:HHYC5BBXY:1:2213:16985:10915,K00302:179:HHYC5BBXY:1:2214:19958:33475,K00302:179:HHYC5BBXY:1:2119:17787:22784,K00302:179:HHYC5BBXY:1:1202:32847:17931,K00302:179:HHYC5BBXY:1:2105:29954:48227,K00302:179:HHYC5BBXY:1:2105:30076:49001,
chr1:7895822|7897209	chr1	7895822	7897209	10	5_6_0	45	0.308	exon	ENSG00000049246.14_2,	+	K00302:179:HHYC5BBXY:1:1213:24058:7627,K00302:179:HHYC5BBXY:1:2125:15483:19425,K00302:179:HHYC5BBXY:1:2102:9820:18124,K00302:179:HHYC5BBXY:1:2105:7821:20006,K00302:179:HHYC5BBXY:1:1217:25926:13605,K00302:179:HHYC5BBXY:1:1224:29792:48931,K00302:179:HHYC5BBXY:1:1111:20527:15645,K00302:179:HHYC5BBXY:1:1116:9171:18405,K00302:179:HHYC5BBXY:1:2103:17858:25931,K00302:179:HHYC5BBXY:1:2223:9729:15504,
chr1:8482787|8674745	chr1	8482787	8674745	2	2_2_0	27	0.129	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1103:28645:40930,K00302:179:HHYC5BBXY:1:1112:21897:26916,
chr1:8525985|8674745	chr1	8525985	8674745	2	2_1_0	29	0.121	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1121:28808:22889,K00302:179:HHYC5BBXY:1:2215:14154:39418,
chr1:8555123|8568734	chr1	8555123	8568734	2	2_2_0	131	0.030	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1204:26342:39225,K00302:179:HHYC5BBXY:1:2115:12926:24032,
chr1:8555123|8601377	chr1	8555123	8601377	3	3_3_0	211	0.028	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2113:9120:20146,K00302:179:HHYC5BBXY:1:2113:9425:22116,K00302:179:HHYC5BBXY:1:2114:29000:20375,
