circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	5	3_4_0	1	0.909	exon	ENSG00000230092.7_5,	-	K00302:179:HHYC5BBXY:1:2208:12834:4110,K00302:179:HHYC5BBXY:1:1228:6654:19531,K00302:179:HHYC5BBXY:1:1110:6634:10458,K00302:179:HHYC5BBXY:1:1224:28574:48227,K00302:179:HHYC5BBXY:1:2221:15706:46223,
chr1:1158624|1159348	chr1	1158624	1159348	8	5_3_0	78	0.170	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:1112:11414:22995,K00302:179:HHYC5BBXY:1:2217:5812:16418,K00302:179:HHYC5BBXY:1:1121:27580:16084,K00302:179:HHYC5BBXY:1:1227:7385:24489,K00302:179:HHYC5BBXY:1:1108:2402:2809,K00302:179:HHYC5BBXY:1:1108:7263:6062,K00302:179:HHYC5BBXY:1:2108:3599:2598,K00302:179:HHYC5BBXY:1:1119:29406:45309,
chr1:1735858|1749314	chr1	1735858	1749314	2	1_0_2	404	0.010	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:1219:16478:17913,K00302:179:HHYC5BBXY:1:2105:4442:41018,
chr1:6589054|6601987	chr1	6589054	6601987	2	2_2_0	22	0.154	exon	ENSG00000162408.11_3,	-	K00302:179:HHYC5BBXY:1:2120:6928:21869,K00302:179:HHYC5BBXY:1:1110:8014:4092,
chr1:6867043|6948959	chr1	6867043	6948959	2	2_2_0	3	0.571	intron	ENSG00000171735.19_4,	+	K00302:179:HHYC5BBXY:1:2219:1651:20181,K00302:179:HHYC5BBXY:1:2105:13098:42548,
chr1:7837220|7838229	chr1	7837220	7838229	8	6_5_0	73	0.180	exon	ENSG00000049245.13_4,	+	K00302:179:HHYC5BBXY:1:1220:16092:34688,K00302:179:HHYC5BBXY:1:1103:28402:8084,K00302:179:HHYC5BBXY:1:1106:10774:44359,K00302:179:HHYC5BBXY:1:2212:14012:6290,K00302:179:HHYC5BBXY:1:2216:10358:3231,K00302:179:HHYC5BBXY:1:2105:20253:25474,K00302:179:HHYC5BBXY:1:1202:9384:35866,K00302:179:HHYC5BBXY:1:2204:18599:13078,
chr1:8482787|8674745	chr1	8482787	8674745	2	2_2_0	36	0.100	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2124:21866:7486,K00302:179:HHYC5BBXY:1:1119:14265:22239,
chr1:8525985|8617582	chr1	8525985	8617582	18	9_7_0	70	0.340	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2208:10835:11337,K00302:179:HHYC5BBXY:1:1211:18152:41880,K00302:179:HHYC5BBXY:1:1104:22150:49194,K00302:179:HHYC5BBXY:1:1108:30299:30503,K00302:179:HHYC5BBXY:1:1118:32593:18441,K00302:179:HHYC5BBXY:1:2222:8227:3969,K00302:179:HHYC5BBXY:1:2222:2524:9596,K00302:179:HHYC5BBXY:1:2225:18954:27690,K00302:179:HHYC5BBXY:1:2225:17929:28235,K00302:179:HHYC5BBXY:1:2105:24464:37343,K00302:179:HHYC5BBXY:1:2108:17056:30661,K00302:179:HHYC5BBXY:1:2110:26189:17544,K00302:179:HHYC5BBXY:1:2116:10094:25632,K00302:179:HHYC5BBXY:1:1212:21034:35057,K00302:179:HHYC5BBXY:1:1102:9313:44781,K00302:179:HHYC5BBXY:1:1110:14204:7187,K00302:179:HHYC5BBXY:1:1114:30705:39014,K00302:179:HHYC5BBXY:1:1209:31324:19337,
chr1:8555123|8601377	chr1	8555123	8601377	6	5_5_0	176	0.064	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2119:14418:45115,K00302:179:HHYC5BBXY:1:2203:2757:37501,K00302:179:HHYC5BBXY:1:1115:11525:47594,K00302:179:HHYC5BBXY:1:2227:24495:25580,K00302:179:HHYC5BBXY:1:1124:26829:26916,K00302:179:HHYC5BBXY:1:1204:22140:35602,
chr1:8555123|8674745	chr1	8555123	8674745	32	19_14_0	55	0.538	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2120:26027:26652,K00302:179:HHYC5BBXY:1:1210:28777:34688,K00302:179:HHYC5BBXY:1:1223:13667:9385,K00302:179:HHYC5BBXY:1:1103:27438:20691,K00302:179:HHYC5BBXY:1:1104:17432:29554,K00302:179:HHYC5BBXY:1:1107:30990:8840,K00302:179:HHYC5BBXY:1:1116:11677:39699,K00302:179:HHYC5BBXY:1:1118:29660:15117,K00302:179:HHYC5BBXY:1:1119:3295:8752,K00302:179:HHYC5BBXY:1:2211:1367:45783,K00302:179:HHYC5BBXY:1:2217:4645:44675,K00302:179:HHYC5BBXY:1:2106:26210:34776,K00302:179:HHYC5BBXY:1:2112:9902:22661,K00302:179:HHYC5BBXY:1:2112:10084:23470,K00302:179:HHYC5BBXY:1:2113:28239:28235,K00302:179:HHYC5BBXY:1:2116:7760:8189,K00302:179:HHYC5BBXY:1:2116:14752:41370,K00302:179:HHYC5BBXY:1:1123:29102:3987,K00302:179:HHYC5BBXY:1:1206:20019:47999,K00302:179:HHYC5BBXY:1:1207:26494:37027,K00302:179:HHYC5BBXY:1:2121:20161:31329,K00302:179:HHYC5BBXY:1:2121:21156:32490,K00302:179:HHYC5BBXY:1:2204:18223:35848,K00302:179:HHYC5BBXY:1:2207:3366:46504,K00302:179:HHYC5BBXY:1:1216:4198:4585,K00302:179:HHYC5BBXY:1:1225:13301:18669,K00302:179:HHYC5BBXY:1:1225:12398:19918,K00302:179:HHYC5BBXY:1:1107:14336:35092,K00302:179:HHYC5BBXY:1:2111:26301:45906,K00302:179:HHYC5BBXY:1:2117:19999:40086,K00302:179:HHYC5BBXY:1:1120:12672:34143,K00302:179:HHYC5BBXY:1:1123:26616:3547,
