circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	5	2_4_0	10	0.500	exon	ENSG00000230092.7_5,	-	K00302:154:HGK25BBXY:2:1223:16884:47032,K00302:154:HGK25BBXY:2:2223:8359:29413,K00302:154:HGK25BBXY:2:1127:8633:22995,K00302:154:HGK25BBXY:2:2208:22120:44886,K00302:154:HGK25BBXY:2:1108:31649:17685,
chr1:1158624|1159348	chr1	1158624	1159348	5	4_4_0	361	0.027	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:2:1206:5132:18968,K00302:154:HGK25BBXY:2:1207:17015:3547,K00302:154:HGK25BBXY:2:1121:29751:35532,K00302:154:HGK25BBXY:2:2216:10358:40825,K00302:154:HGK25BBXY:2:1126:26078:19214,
chr1:1417925|1455686	chr1	1417925	1455686	2	1_2_1	10	0.286	intergenic_region	n/a	+	K00302:154:HGK25BBXY:2:1216:25611:46504,K00302:154:HGK25BBXY:2:2115:28463:33580,
chr1:1430865|1464711	chr1	1430865	1464711	2	2_2_0	3	0.571	intergenic_region	n/a	+	K00302:154:HGK25BBXY:2:1120:4756:34073,K00302:154:HGK25BBXY:2:1202:12713:24648,
chr1:1572770|1635783	chr1	1572770	1635783	2	2_2_0	19	0.174	intergenic_region	n/a	-	K00302:154:HGK25BBXY:2:1211:9435:8172,K00302:154:HGK25BBXY:2:2121:28889:32595,
chr1:1747195|1756938	chr1	1747195	1756938	2	2_2_0	620	0.006	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:2128:5193:5218,K00302:154:HGK25BBXY:2:2220:32329:18019,
chr1:1747195|1770677	chr1	1747195	1770677	3	3_2_1	464	0.013	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:2207:26677:44201,K00302:154:HGK25BBXY:2:1207:31629:10405,K00302:154:HGK25BBXY:2:2103:4807:13271,
chr1:1750914|1751582	chr1	1750914	1751582	2	1_2_0	5	0.444	intron	ENSG00000078369.18_3,	+	K00302:154:HGK25BBXY:2:1209:16762:27338,K00302:154:HGK25BBXY:2:1218:16478:13095,
chr1:6709196|6710394	chr1	6709196	6710394	2	2_2_0	18	0.182	intron	ENSG00000007923.16_4,	+	K00302:154:HGK25BBXY:2:2112:17340:2035,K00302:154:HGK25BBXY:2:1202:3508:18511,
chr1:7837220|7838229	chr1	7837220	7838229	6	6_2_4	209	0.054	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:2:2209:9069:20726,K00302:154:HGK25BBXY:2:1205:7801:38890,K00302:154:HGK25BBXY:2:1221:24231:44289,K00302:154:HGK25BBXY:2:2121:17279:35092,K00302:154:HGK25BBXY:2:1225:6238:31751,K00302:154:HGK25BBXY:2:1127:28716:23610,
chr1:8555123|8674745	chr1	8555123	8674745	5	2_3_1	89	0.101	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1110:2656:3881,K00302:154:HGK25BBXY:2:1208:23510:22995,K00302:154:HGK25BBXY:2:2228:19766:18581,K00302:154:HGK25BBXY:2:2228:21389:19742,K00302:154:HGK25BBXY:2:2228:21298:19900,
chr1:8601273|8617582	chr1	8601273	8617582	3	2_0_2	53	0.102	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1111:23003:27215,K00302:154:HGK25BBXY:2:1116:21673:16753,K00302:154:HGK25BBXY:2:2116:19827:14678,
chr1:8601273|8674745	chr1	8601273	8674745	4	2_3_0	55	0.127	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1106:23115:39119,K00302:154:HGK25BBXY:2:1106:23104:39383,K00302:154:HGK25BBXY:2:1217:24566:6783,K00302:154:HGK25BBXY:2:2216:19004:38679,
chr1:8850665|8852647	chr1	8850665	8852647	3	1_2_0	20	0.231	intron	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:2124:22658:15785,K00302:154:HGK25BBXY:2:2103:26768:38767,K00302:154:HGK25BBXY:2:2103:26565:38838,
chr1:9991949|9994918	chr1	9991949	9994918	6	2_4_3	60	0.167	exon	ENSG00000162441.12_3,	-	K00302:154:HGK25BBXY:2:1205:17634:33633,K00302:154:HGK25BBXY:2:2217:22901:2281,K00302:154:HGK25BBXY:2:1228:23145:43849,K00302:154:HGK25BBXY:2:1124:17249:7011,K00302:154:HGK25BBXY:2:1218:3894:14959,K00302:154:HGK25BBXY:2:2116:22465:22520,
chr1:10032076|10041228	chr1	10032076	10041228	4	4_2_0	29	0.216	exon	ENSG00000173614.14_4,	+	K00302:154:HGK25BBXY:2:1222:30239:18230,K00302:154:HGK25BBXY:2:2116:24616:44535,K00302:154:HGK25BBXY:2:2117:12236:24032,K00302:154:HGK25BBXY:2:2117:12053:24173,
chr1:15964802|15970145	chr1	15964802	15970145	2	2_2_0	65	0.058	exon	ENSG00000197312.12_4,	+	K00302:154:HGK25BBXY:2:1204:12713:21201,K00302:154:HGK25BBXY:2:1201:25601:46909,
chr1:16044388|16047883	chr1	16044388	16047883	2	1_2_0	95	0.040	exon	ENSG00000116786.13_5,	+	K00302:154:HGK25BBXY:2:2121:18528:11161,K00302:154:HGK25BBXY:2:1209:21207:38873,
