circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	15	2_7_1	13	0.698	exon	ENSG00000230092.7_5,	-	K00302:154:HGK25BBXY:1:1111:5355:22696,K00302:154:HGK25BBXY:1:1101:17939:14783,K00302:154:HGK25BBXY:1:2206:22617:28235,K00302:154:HGK25BBXY:1:2211:6806:2387,K00302:154:HGK25BBXY:1:1111:5386:22713,K00302:154:HGK25BBXY:1:2120:8856:13992,K00302:154:HGK25BBXY:1:1228:14499:5763,K00302:154:HGK25BBXY:1:1228:14468:5816,K00302:154:HGK25BBXY:1:2104:7243:9965,K00302:154:HGK25BBXY:1:1104:20882:13939,K00302:154:HGK25BBXY:1:1108:29538:19373,K00302:154:HGK25BBXY:1:1108:29934:19531,K00302:154:HGK25BBXY:1:1108:29883:19584,K00302:154:HGK25BBXY:1:1108:29751:20551,K00302:154:HGK25BBXY:1:1206:10074:35303,
chr1:1158624|1159348	chr1	1158624	1159348	26	13_16_2	129	0.287	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:1:2208:2849:47190,K00302:154:HGK25BBXY:1:1118:24068:26037,K00302:154:HGK25BBXY:1:1118:23977:26090,K00302:154:HGK25BBXY:1:1118:8420:27373,K00302:154:HGK25BBXY:1:2214:8998:15363,K00302:154:HGK25BBXY:1:1110:27417:30995,K00302:154:HGK25BBXY:1:1113:16264:11952,K00302:154:HGK25BBXY:1:2112:18578:5692,K00302:154:HGK25BBXY:1:2120:15442:1525,K00302:154:HGK25BBXY:1:2102:2148:4514,K00302:154:HGK25BBXY:1:2102:18284:45449,K00302:154:HGK25BBXY:1:2105:19776:40192,K00302:154:HGK25BBXY:1:2109:16965:22168,K00302:154:HGK25BBXY:1:2110:6289:39647,K00302:154:HGK25BBXY:1:2203:14976:48087,K00302:154:HGK25BBXY:1:2203:14803:48456,K00302:154:HGK25BBXY:1:1105:18832:42038,K00302:154:HGK25BBXY:1:1215:24038:27285,K00302:154:HGK25BBXY:1:1216:1570:22854,K00302:154:HGK25BBXY:1:2208:18304:6449,K00302:154:HGK25BBXY:1:2115:10338:36183,K00302:154:HGK25BBXY:1:2109:30776:13464,K00302:154:HGK25BBXY:1:2128:2747:24964,K00302:154:HGK25BBXY:1:2201:16102:27215,K00302:154:HGK25BBXY:1:2204:5609:28446,K00302:154:HGK25BBXY:1:2205:31487:8611,
chr1:1735858|1749314	chr1	1735858	1749314	3	2_1_1	776	0.008	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:2120:15859:4391,K00302:154:HGK25BBXY:1:1106:1570:27004,K00302:154:HGK25BBXY:1:1215:12114:48509,
chr1:1747195|1756938	chr1	1747195	1756938	3	3_3_0	573	0.010	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:2125:1357:19355,K00302:154:HGK25BBXY:1:1226:5802:45414,K00302:154:HGK25BBXY:1:2223:4827:9543,
chr1:1747195|1770677	chr1	1747195	1770677	5	2_2_4	414	0.024	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:1:1122:31456:47841,K00302:154:HGK25BBXY:1:1124:16508:17544,K00302:154:HGK25BBXY:1:1124:16467:17649,K00302:154:HGK25BBXY:1:1221:24738:45942,K00302:154:HGK25BBXY:1:2204:3630:49107,
chr1:2066701|2082417	chr1	2066701	2082417	2	1_2_1	115	0.034	exon	ENSG00000067606.17_5,	+	K00302:154:HGK25BBXY:1:2221:9861:7257,K00302:154:HGK25BBXY:1:2113:5741:24700,
chr1:4771960|4772759	chr1	4771960	4772759	2	1_2_0	35	0.103	exon	ENSG00000196581.10_2,	+	K00302:154:HGK25BBXY:1:1119:15422:23329,K00302:154:HGK25BBXY:1:1119:9323:28938,
chr1:6867043|6885270	chr1	6867043	6885270	2	2_2_0	83	0.046	exon	ENSG00000171735.19_4,	+	K00302:154:HGK25BBXY:1:2212:5142:9491,K00302:154:HGK25BBXY:1:2121:13707:34424,
chr1:7837220|7838229	chr1	7837220	7838229	19	12_3_8	246	0.134	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:1:2218:6796:31453,K00302:154:HGK25BBXY:1:2219:31193:7398,K00302:154:HGK25BBXY:1:2113:25763:7205,K00302:154:HGK25BBXY:1:2116:3072:27778,K00302:154:HGK25BBXY:1:2105:17766:4462,K00302:154:HGK25BBXY:1:2223:12581:34829,K00302:154:HGK25BBXY:1:1101:12845:22626,K00302:154:HGK25BBXY:1:1212:4787:27760,K00302:154:HGK25BBXY:1:1212:4624:28006,K00302:154:HGK25BBXY:1:1203:19583:12251,K00302:154:HGK25BBXY:1:1122:17066:19285,K00302:154:HGK25BBXY:1:2215:26880:7591,K00302:154:HGK25BBXY:1:2219:25489:43550,K00302:154:HGK25BBXY:1:2227:6827:22080,K00302:154:HGK25BBXY:1:2201:26403:43445,K00302:154:HGK25BBXY:1:2202:8521:44922,K00302:154:HGK25BBXY:1:2203:13068:11231,K00302:154:HGK25BBXY:1:1211:8765:7222,K00302:154:HGK25BBXY:1:1207:20283:25140,
chr1:7895822|7897209	chr1	7895822	7897209	2	2_1_0	52	0.071	exon	ENSG00000049246.14_2,	+	K00302:154:HGK25BBXY:1:1126:4787:10211,K00302:154:HGK25BBXY:1:1220:25418:27989,
